C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117889638	3077.54107340524	3154.54097769835	3817.53691916532	4187.71342353947	3869.92403381724	4073.60229162815	4022.64001572113	4310.38324938133	4045.70842812444	3583.90996520919	3006.86429104656	3525.4863564445
gene-LOC117889639	81660.1615483671	105455.614759048	78103.6114109311	65050.704456791	102938.852684099	75306.8216603473	75626.0323592087	79697.5344678875	90772.9735232108	94113.7146750034	81566.886796569	106455.374427784
gene-LOC117890361	0	0	0	1.11138891282895	0	0	0	4.00500185772946	1.98806310964346	0	2.02414290881626	0
gene-LOC117902120	677.227553114158	571.02311981625	656.852094408176	655.719458569078	630.904645978938	970.748703450103	770.122529116179	738.922842751086	1395.62030296971	1046.95394982643	815.729592252954	918.970553636312
gene-LOC117891813	3.15969309384522	1.11310549671784	4.752909510913	1.11138891282895	0	1.6867918391835	1.00015912872231	0	0	0	0	4.14885125795175
gene-LOC117891157	1.05323103128174	6.67863298030702	2.8517457065478	2.22277782565789	1.87769239874684	0	2.00031825744462	0	1.98806310964346	1.8383739241904	1.01207145440813	5.18606407243968
gene-LOC117893744	0	1.11310549671784	3.8023276087304	2.22277782565789	3.75538479749368	0	0	3.0037513932971	0.99403155482173	0.919186962095201	3.03621436322439	3.11163844346381
gene-LOC117892289	206.433282131221	296.086062126944	419.206618862526	270.067505817434	478.811561680444	251.331984038341	246.039145665688	308.385143045169	276.340772240441	201.301944698849	253.017863602033	382.731528546049
gene-LOC117892296	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117892685	0	0	0	0	1.87769239874684	0	0	0	0	0	0	0
gene-LOC117892304	32.6501619697339	21.1490044376389	56.0843322287734	32.2302784720394	17.838077788095	26.988669426936	38.0060468914478	21.0262597530797	38.7672306380475	27.575608862856	19.2293576337545	61.1955560547883
gene-Trnag-ucc	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902200	15.7984654692261	21.1490044376389	14.258728532739	20.005000430921	29.104232180576	21.0848979897937	34.0054103765585	7.00875325102656	27.8328835350085	15.6261783556184	18.2172861793464	28.0047459911743
gene-LOC117892692	0	0	0	0	0	0	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903097	9.47907928153566	2.22621099343567	0	0	0	0.843395919591749	0	1.00125046443237	0	1.8383739241904	1.01207145440813	2.07442562897587
gene-LOC117895847	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903383	67.4067860020313	58.9945913260453	33.270366576391	66.6833347697368	61.0250029592723	60.7245062106059	56.0089112084494	72.0900334391303	122.265881243073	27.575608862856	57.6880729012635	52.8978535388848
gene-LOC117903382	525.562284609588	628.904605645577	538.979938537534	791.30890593421	979.216585946477	655.318629522789	711.113140521562	944.179187959721	765.404297212732	603.905834096547	399.768224491212	654.481285941888
gene-LOC117903384	0	0	0	0	0	0	0	0	0	0	0	1.03721281448794
gene-LOC117903386	0	1.11310549671784	0	2.22277782565789	3.75538479749368	0	0	0	0	0.919186962095201	1.01207145440813	0
gene-LOC117903385	213.805899350193	345.062703982529	239.546639350015	196.715837570723	256.305012428944	184.703706390593	157.024983209403	106.132549229831	172.961490538981	156.261783556184	199.378076518402	240.633372961201
gene-LOC117903381	2250.75471384908	2820.609328683	2386.91115638051	2620.65505645066	3351.68093176311	2283.07275433487	3006.47834093926	3282.09902240929	3187.85919631329	2654.61194653094	2271.08834369185	3257.88545030661
gene-LOC117903387	12.6387723753809	15.5834769540497	10.4564009240086	15.5594447796052	11.266154392481	10.9641469546927	10.0015912872231	23.0287606819444	10.934347103039	13.787804431428	16.1931432705301	17.6326178462949
