C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117896259	2487.74326839763	2376.55383528824	2408.73387178514	2422.75812332555	2338.36071406773	3118.84883882218
gene-LOC117896250	641.864680152532	865.986115290897	798.582927842514	711.135293405927	741.705165413282	609.150163832458
gene-LOC117896349	6.21159367889547	9.81596352344845	6.49254412880093	9.07060323221846	3.06068156291588	18.2745049149737
gene-LOC117896235	1634.68440316266	1533.47163488539	1924.57558103742	1590.98380693112	1489.5316939524	1511.70765657755
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	189.453607206312	236.673787176479	180.863729302312	171.434401088929	202.004983152448	265.995571540173
gene-LOC117896163	1057.00619102538	1185.55026110983	943.273911284363	1016.81462233169	895.759470746715	1030.47902714991
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	36.2342964602236	38.1731914800773	22.260151298746	39.0035938985394	33.6674971920747	36.5490098299475
gene-LOC117896199	868.587849432216	799.45569585419	880.203482604583	830.86725607121	709.057895408846	868.038983461253
gene-LOC117896273	4750.83389874188	4585.14562806414	4546.63590276888	4310.35065595021	4334.94532027653	4097.55010204633
gene-LOC117896187	20397.8383758796	22066.2860007121	21932.7415733937	22586.7091085472	18160.0439399676	23818.7866561222
gene-LOC117896179	2252.73797421276	1967.55535514456	2142.53956250431	2206.87776639875	1753.7705355508	2187.86433843158
gene-LOC117896121	6544.94920632952	7425.23107418189	6334.86805710148	6374.81995160313	5395.9815954207	6675.27054533069
gene-LOC117896368	0	0	0	0	0	0
gene-LOC117896337	0	3.27198784114948	0	0	1.02022718763863	2.03050054610819
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	56.9396087232084	63.2584315955567	53.7953656386363	90.7060323221846	113.245217827888	101.52502730541
gene-LOC117896170	1.03526561314924	0	0	0	0	0
gene-LOC117903771	8.28212490519395	5.45331306858247	0	7.25648258577476	9.18204468874765	7.10675191137868
gene-LOC117903770	3945.39725171177	3983.09986529264	4612.488850361	4593.35347679543	4148.24374493866	4485.375706353
gene-LOC117903767	2650.27996966207	2582.68906928066	2858.57442928064	2605.07724829314	2474.05093002367	2496.50042144002
gene-LOC117903769	3198.97074463117	3995.09715404352	4091.2303074487	4174.29160746693	3583.03788298686	4315.82891075296
gene-LOC117892081	4600.72038483524	4358.28780441111	4562.40350993882	4519.88159061446	3323.90017732665	4313.79841020686
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	2.07053122629849	3.27198784114948	1.85501260822884	3.62824129288738	2.04045437527726	2.03050054610819
gene-LOC117892142	2114.01238205076	2191.14119095644	2571.04747500517	2061.74811468326	2065.96005496822	1894.45700951894
gene-LOC117892062	5856.49757358528	5475.1263208568	6070.52876042887	5738.06360470139	4147.22351775102	5045.79385707886
gene-LOC117892133	3248.66349406233	4026.7263698413	4298.99171957033	3956.59712989369	3483.05561859828	3384.84441036236
gene-LOC117903522	5052.09619216831	3636.26915413079	4220.1536837206	4404.68492956528	4507.36371498746	4201.10562989785
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	15048.6209527374	11924.2143557624	13925.5796499739	16330.7140592861	16360.363180973	17228.797133728
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	7.24685929204471	1.09066261371649	0	2.72118096966554	0	7.10675191137868
gene-LOC117892802	9.3173905183432	4.36265045486598	4.63753152057209	3.62824129288738	4.08090875055451	9.13725245748687
gene-LOC117903525	71.4333273072979	98.1596352344845	70.4904791126958	85.2636703828535	83.6586293863675	90.3572743018146
gene-LOC117903519	6955.94965474977	5524.20613847404	6396.08347317303	6840.14189741594	6974.27305469766	6518.92200328035
gene-LOC117903518	639.794148926233	777.642443579861	936.781367155563	683.923483709272	703.956759470653	685.293934311515
gene-LOC117901432	53753.0611659351	51418.1982610504	47518.930478694	54879.8707358913	62756.2147660273	49631.5248485226
gene-LOC117903149	750.567569533202	852.898163926299	864.435875434638	722.020017284589	748.846755726753	671.080430488758
gene-LOC117903154	1426.59601491966	1724.33759228578	1510.90776940239	1358.77636418632	1159.99831234512	1580.74467514523
gene-LOC117903153	4.14106245259698	4.36265045486598	2.78251891234325	2.72118096966554	7.14159031347039	11.1677530035951
gene-LOC117892819	4130.70979646548	4320.11461293103	4492.84053713024	4176.10572811338	3974.80512304009	4509.7417129063
gene-LOC117903150	874.799443111112	985.959002799711	818.060560228917	944.249796473941	784.554707294105	1062.96703588764
gene-LOC117903152	42.445890139119	86.1623464836031	66.7804538962381	58.0518606861981	34.6877243797133	68.0217682946245
gene-LOC117892835	0	0	0	0	0	3.04575081916229
gene-LOC117892851	0	0	0	0	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	0	0	1.02022718763863	0
gene-LOC117893086	6.21159367889547	1.09066261371649	6.49254412880093	2.72118096966554	0	5.07625136527048
gene-LOC117903095	1.03526561314924	0	0	0	0	0
gene-LOC117897365	0	0	0	0	0	0
gene-LOC117892447	3.10579683944773	1.09066261371649	0	2.72118096966554	5.10113593819314	2.03050054610819
gene-LOC117889658	91.1033739571335	98.1596352344845	98.3156682361283	107.9401784634	80.5979478234516	135.028286316195
gene-LOC117889739	2890.46159191269	3128.02037613891	3451.25095760975	3256.34656036643	3659.55492205976	3385.85966063541
gene-LOC117893126	0	0	0	0.907060323221846	0	0
gene-LOC117889699	0	0	0	0	0	1.0152502730541
gene-LOC117893141	0	0	0	0.907060323221846	0	0
gene-LOC117889729	2.07053122629849	0	0.927506304114418	0	3.06068156291588	13.1982535497033
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0	0	0
gene-LOC117889644	0	1.09066261371649	1.85501260822884	1.81412064644369	0	0
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	67.2922648547009	68.7117446641391	89.0406051949842	107.033118140178	88.7597653245606	81.2200218443277
gene-LOC117889675	0	0	0.927506304114418	0	0	0
gene-LOC117891408	404.788854741355	212.679209674716	332.047256872962	507.046720681012	371.362696300461	421.32886331745
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	0	11.9972887508814	0	0	12.2427262516635	4.06100109221639
gene-LOC117893198	0	2.18132522743299	0	0	0	0
gene-LOC117897981	2.07053122629849	0	0	0	0	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0	0
gene-LOC117894638	0	0	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	124.231873577909	209.407221833567	139.125945617163	200.460331432028	192.822938463701	262.949820721011
gene-LOC117898339	4666.97738407679	4610.23086817962	4766.454896844	4234.15758879958	3836.05422552124	4150.34311624515
gene-LOC117894747	3.10579683944773	1.09066261371649	0	8.16354290899661	0	0
gene-LOC117893217	1.03526561314924	0	0.927506304114418	1.81412064644369	0	4.06100109221639
gene-LOC117893239	0	0	0	0.907060323221846	0	0
gene-LOC117903334	1.03526561314924	0	2.78251891234325	0	0	4.06100109221639
gene-LOC117893254	0	0	0	0	2.04045437527726	0
gene-LOC117903338	514.527009735174	325.017458887515	289.381966883699	324.727595713421	399.929057554342	403.054358402476
gene-LOC117903333	2920.48429469402	2768.10171361246	2943.90500925916	2561.53835277849	2500.57683690228	2153.34582914774
gene-LOC117893463	2115.04764766391	2005.72854662463	2202.82747227174	1933.85260910897	2027.19142183795	1674.14770026621
gene-LOC117903336	2930.83695082551	2688.48334281116	2868.7769986259	2915.29187883501	3061.70179010352	2434.57015478372
gene-LOC117903339	235.005294184878	237.764449790196	358.94493969228	234.021563391236	310.149065042143	295.437829458742
gene-LOC117903335	7803.832191919	8389.37682470727	9321.4383563499	7512.27359692332	7896.55843232298	6500.64749836538
gene-LOC117903340	3160.66591694464	3274.16916637692	3028.30808293358	3126.6369341457	3277.98995388291	2816.30425745206
gene-LOC117903341	1051.82986295963	1207.36351338416	1436.70726507323	1139.26776596664	1198.76694547539	1169.56831455832
gene-LOC117903342	426.529432617489	376.278601732191	317.207156007131	438.110136116151	266.279295973682	328.941088469527
gene-LOC117903364	787.837131606575	748.194553009515	937.708873459677	869.87084996975	991.660826384746	924.892998752282
gene-LOC117903397	2120.22397572965	2315.47672892012	2487.57190763487	2720.27390934231	2627.08500816947	3735.10575456602
gene-LOC117903388	1909.02979064721	1800.68397524593	1754.84192738448	1638.15094373865	1974.13960808074	1574.6531735069
gene-LOC117903372	1779.62158900355	1537.83428534026	1808.63729302312	1521.14016204303	1575.23077771404	1302.56610032841
gene-LOC117896339	1755.81047990112	1767.96409683444	2533.01971653648	1652.6639089102	1817.0246211844	1802.06923467102
gene-LOC117897140	206.0178570167	245.399088086211	207.76141212163	224.043899835796	222.409526905221	215.233057887468
gene-LOC117899488	102.491295701775	119.972887508814	113.155769101959	64.401282948751	95.901355638031	45.6862622874343
gene-LOC117895602	853.058865234977	767.826480056412	1471.95250462958	636.756346901736	1105.92627140027	709.659940864814
gene-LOC117897945	0	0	0.927506304114418	0	1.02022718763863	2.03050054610819
gene-LOC117898690	846.847271556082	1020.86020643864	907.101165423901	681.202302739606	882.496517307413	632.500920112702
gene-LOC117894847	1149.14483059566	1352.42164100845	1247.49597903389	1195.50550600639	1354.8617051841	1244.69683476432
gene-LOC117889603	994.890254236424	923.791233817871	817.133053924803	945.156856797163	810.06038698507	660.927927758217
gene-LOC117889607	2802.464014795	3348.33422410964	3363.13785871888	3070.39919410595	3554.47152173298	3026.46106397426
gene-LOC117889606	77.6449209861933	62.1677689818402	50.0853404221786	75.2860068274132	140.791351894131	67.0065180215704
gene-LOC117889605	1243.35400139224	1507.2957321562	1386.62192465106	1486.6718697606	1477.28896770073	1523.8906598542
gene-LOC117889604	35.1990308470743	56.7144559132577	64.9254412880093	43.5388955146486	60.193404070679	135.028286316195
gene-LOC117893496	0	0	0.927506304114418	0	0	0
gene-LOC117893603	4204.21365499908	4019.09173154528	4182.12592525191	4048.2102225391	3749.33491457196	3697.54149446302
gene-LOC117893272	619.088836663248	635.856303796716	582.473958983855	632.221045285626	537.659727885557	915.755746294795
gene-LOC117895280	889.293161695201	1008.86291768776	814.350535012459	1134.73246435053	782.514252918828	1006.11302059661
gene-LOC117892189	520.73860341407	546.421969471964	576.908921159168	495.254936479128	452.980871311551	556.357149633645
gene-LOC117892630	220.511575600789	223.585835811881	144.690983441849	210.437994987468	238.733161907439	166.501044780872
gene-LOC117893532	163.571966877581	80.7090334150206	124.285844751332	210.437994987468	109.164309077333	138.074037135357
gene-LOC117893539	3.10579683944773	20.7225896606134	3.71002521645767	4.53530161610923	17.3438621898567	2.03050054610819
gene-LOC117892728	2.07053122629849	4.36265045486598	1.85501260822884	1.81412064644369	3.06068156291588	7.10675191137868
gene-LOC117892499	8.28212490519395	10.9066261371649	7.42005043291535	10.8847238786621	3.06068156291588	10.152502730541
gene-LOC117892672	7.24685929204471	9.81596352344845	5.56503782468651	6.34942226255292	7.14159031347039	3.04575081916229
gene-LOC117892418	94.2091707965812	44.7171671623763	66.7804538962381	75.2860068274132	63.2540856335949	87.3115234826523
gene-LOC117892274	536.267587611309	512.611428446752	588.966503112656	663.968156598391	808.019932609793	761.437704790573
gene-LOC117892343	134.584529709402	101.431623075634	56.5778845509795	75.2860068274132	91.8204468874765	57.8692655640835
gene-LOC117892656	57.9748743363577	38.1731914800773	15.7676071699451	24.4906287269898	19.3843165651339	30.4575081916229
gene-LOC117894262	3292.1446498146	2722.29388383637	2892.89216253287	2638.63848025235	2215.9334515511	2613.25420284124
gene-LOC117902570	10.3526561314924	14.1786139783144	13.9125945617163	7.25648258577476	14.2831806269408	3.04575081916229
