W_NL1_G23_C	W_NL2_G23_C_edited	W_NL3_G23_C	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117893951	884.673574514586	818.766734393966	916.198279635693	806.809125840545	815.598243329637	925.817706929549
gene-LOC117899032	912.758449896001	751.928633627111	883.396119006761	657.295546576388	724.639331434139	746.736179676753
gene-Trnag-gcc	3.30410298604887	0	1.13110898720456	0.940336976504131	5.05327288308325	0
gene-LOC117892385	0	0	2.26221797440912	0	0	0
gene-LOC117902577	116.469630258223	106.15463062971	111.979789733251	164.558970888223	174.843241754681	82.2198206883906
gene-LOC117895077	0	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	2.47807723953665	3.93165298628555	6.78665392322735	0.940336976504131	2.0213091532333	3.37889674061879
gene-LOC117892461	0	0	0	0	0	0
gene-LOC117901524	5493.89724005276	5421.74946808777	5211.0191040514	4842.73542899628	5221.04154280162	5718.21958404054
gene-LOC117892471	38.8232100860743	19.6582649314277	18.0977437952729	43.25550091919	17.1811278024831	33.7889674061879
gene-LOC117900768	537.742760979454	451.157180176267	455.836921843437	497.438260570686	471.975687279976	574.412445905195
gene-LOC117900589	6979.09153228173	5673.37525921005	6412.25684846264	4865.30351643238	5132.10394005935	6296.01092668635
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	1.65205149302444	0.982913246571387	0	2.82101092951239	3.03196372984995	2.25259782707919
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	0	2.94873973971416	2.26221797440912	0	1.01065457661665	3.37889674061879
gene-LOC117900753	0	2.94873973971416	0	0	5.05327288308325	0
gene-LOC117892481	0	0.982913246571387	1.13110898720456	0	1.01065457661665	0
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	9.91230895814662	26.5386576574275	31.6710516417276	30.0907832481322	28.2983281452662	42.7993587145047
gene-LOC117896741	3.30410298604887	2.94873973971416	5.65554493602279	5.64202185902479	9.09589118954986	10.1366902218564
gene-LOC117896721	0.826025746512218	5.89747947942832	4.52443594881824	1.88067395300826	6.06392745969991	9.01039130831678
gene-LOC117896749	17.3465406767566	17.692438438285	18.0977437952729	19.7470765065868	35.3729101815828	34.9152663197275
gene-LOC117896730	2427.68966899941	2141.76796427905	2558.56852905671	2056.51696761454	2213.33352279047	2026.21174545774
gene-LOC117889638	4286.2475986519	4029.94431094269	4198.67656050332	3408.72153982748	3902.13732031689	4023.13971916344
gene-LOC117889639	70626.8533782877	112054.075935631	92176.3335852739	104356.716978475	93177.2986911721	100784.605680264
gene-LOC117890361	3.30410298604887	0	0	0	0	0
gene-LOC117902120	355.191071000254	428.550175505125	679.79650130994	1064.46145740268	1073.31516036688	880.765750387965
gene-LOC117891813	5.78218022558553	0	2.26221797440912	2.82101092951239	0	0
gene-LOC117891157	7.43423171860996	0	2.26221797440912	0.940336976504131	0	1.1262989135396
gene-LOC117893744	1.65205149302444	0	0	1.88067395300826	1.01065457661665	3.37889674061879
gene-LOC117892289	224.679003051323	405.943170833983	406.068126406437	312.191876199372	321.388155364095	297.342913174454
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	0	0	2.82101092951239	0	0
gene-LOC117892304	18.1725664232688	14.7436986985708	24.8843977185003	35.732805107157	16.1704732258664	32.6626684926483
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	23.9547466488543	24.5728311642847	15.8355258208638	24.4487613891074	16.1704732258664	15.7681847895544
gene-LOC117892692	0	2.94873973971416	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	0.826025746512218	6.88039272599971	0	0	0	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	64.430008227953	67.8210140134257	45.2443594881824	71.465610214314	36.3835647581994	45.0519565415839
gene-LOC117903382	759.117661044728	764.706505832539	730.696405734145	681.744307965495	672.085293450073	739.978386195515
gene-LOC117903384	3.30410298604887	0	0	0	0	0
gene-LOC117903386	0	0	0	2.82101092951239	1.01065457661665	0
gene-LOC117903385	173.465406767566	173.975644643136	227.352906428116	215.337167619446	184.949787520847	179.081527252796
gene-LOC117903381	3135.59373376038	3052.92854385073	2853.7879747171	3190.56336127852	3166.38078853997	3295.55062101686
gene-LOC117903387	11.5643604511711	10.8120457122853	16.9666348080684	22.5680874360992	11.1172003427832	22.5259782707919
gene-LOC117896133	1995.67820357352	1595.26819918536	2073.32277354596	1359.72726802497	1611.99404970356	1972.14939760783
gene-LOC117892719	0	0	0	1.88067395300826	1.01065457661665	1.1262989135396
gene-LOC117892729	1.65205149302444	0.982913246571387	0	0	0	0
gene-LOC117896254	13.2164119441955	9.82913246571387	11.3110898720456	3.76134790601653	4.0426183064666	3.37889674061879
gene-LOC117896346	621.171361377188	489.490796792551	571.210038538302	583.949262409066	498.252706272009	545.128674153165
gene-LOC117896247	1137.43745294732	744.06532765454	758.974130414259	1035.31101113105	707.458203631656	834.587494932842
gene-LOC117896269	1728.04586170356	2035.61333364934	2448.85095729787	6556.0294001868	4698.53312669081	4837.45383365257
gene-LOC117896229	1055.66090404261	1085.13622421481	916.198279635693	992.995847188363	1025.8143952659	842.471587327619
gene-LOC117896259	3334.66593866982	3073.56972202873	2774.61034561278	3366.40637588479	3262.39297331855	3068.03824048186
gene-LOC117896250	929.278964826245	885.60483516082	719.385315862099	944.098324410148	815.598243329637	821.071907970366
gene-LOC117896349	12.3903861976833	31.4532238902844	6.78665392322735	31.0311202246363	21.2237461089497	21.3996793572523
gene-LOC117896235	1749.52253111288	1840.01359758164	1795.06996269363	1739.62340653264	1870.72162131742	1661.29089747091
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	213.940668346665	239.830832163418	269.203938954685	333.819626658967	235.48251635168	361.541951246211
gene-LOC117896163	1787.51971545244	1431.12168700794	1729.46564143577	1197.04897108976	1295.65916722255	1580.19737569606
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	42.1273130721231	49.1456623285694	39.5888145521596	32.9117941776446	34.3622556049661	36.0415652332671
gene-LOC117896199	1165.52232832874	976.032853845388	980.671491906352	948.800009292669	908.578464378369	960.732973249276
gene-LOC117896273	6238.97246340678	5204.5256405955	5617.08723045784	4769.38914482895	4929.97302473602	4630.21483356128
gene-LOC117896187	30713.2893068173	25227.4513865012	31082.8749683813	23392.7629644933	24964.1786970079	27774.5312078865
gene-LOC117896179	3276.01811066746	2499.54838603104	2857.18130167872	2330.15502777724	2365.94236385958	2738.03265881476
gene-LOC117896121	9363.82786246251	8543.4819391985	8757.04577893769	6747.85814339365	7112.98691022799	7841.29303606268
gene-LOC117896368	0	0	0	1.88067395300826	0	0
gene-LOC117896337	2.47807723953665	2.94873973971416	1.13110898720456	3.76134790601653	1.01065457661665	7.88409239477718
gene-LOC117892736	0.826025746512218	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	48.7355190442209	63.8893610271402	88.2265010019556	83.6899909088677	66.703202056699	69.830532639455
gene-LOC117896170	0	0	0	0	0	0
gene-LOC117903771	3.30410298604887	4.91456623285694	0	3.76134790601653	5.05327288308325	6.75779348123758
gene-LOC117903770	4225.12169341	5033.49873569207	4679.39788006526	5213.2281977389	5715.25163076716	5444.52894805041
gene-LOC117903767	3252.88938976512	3187.58765863101	3202.16954277611	2582.16533748034	2909.67452607934	3089.43791983912
gene-LOC117903769	4703.39060064057	4372.9810339961	4528.96038476705	4913.26070223409	4224.5361302576	4560.38430092183
gene-LOC117892081	7466.44672272394	6076.36969030432	6831.89828271554	4013.35821571963	4969.38855322407	6110.17160595232
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	3.30410298604887	14.7436986985708	1.13110898720456	2.82101092951239	16.1704732258664	5.63149456769799
gene-LOC117892142	2841.52856800203	2786.55905402988	2917.13007800056	2170.29774177154	2542.80691476749	2414.7848706289
gene-LOC117892062	9056.54628475996	7238.1731477517	8395.09090303224	5387.19053839217	5958.81938373177	6992.06365525382
gene-LOC117892133	5152.74860674322	4659.99170199495	4843.40868320992	4102.69022848753	4304.37784181032	4460.14369761681
gene-LOC117903522	3997.13858737262	4277.63844907868	4337.80296592948	4744.00004646334	4454.9653737262	4854.34831735566
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	13754.9807309215	14392.7986695448	14125.2890322105	17865.462216602	17666.2419992591	17702.0400241019
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	3.30410298604887	5.89747947942832	9.04887189763647	2.82101092951239	1.01065457661665	7.88409239477718
gene-LOC117892802	5.78218022558553	2.94873973971416	4.52443594881824	6.58235883552892	5.05327288308325	1.1262989135396
gene-LOC117903525	116.469630258223	73.718493492854	98.4064818867966	77.1076320733388	99.0441485084318	91.2302119967074
gene-LOC117903519	6257.97105557657	6968.85491819114	6740.27845475197	7261.2821325649	8190.34468890134	6862.53928019677
gene-LOC117903518	1033.35820888678	741.116587914826	872.085029134715	788.942723286966	668.042675143606	831.208598192223
gene-LOC117901432	59863.7379012335	57932.9067529176	60965.6433013385	61122.843809745	63346.8182077551	54902.5668394012
gene-LOC117903149	721.946502451679	781.416031024253	668.485411437894	718.417450049156	772.140096535121	753.493973157991
gene-LOC117903154	2082.4109069573	1692.57661059593	1619.74806967693	1484.79208590002	1371.4582604688	1419.13663105989
gene-LOC117903153	4.13012873256109	6.88039272599971	4.52443594881824	3.76134790601653	2.0213091532333	5.63149456769799
gene-LOC117892819	4743.03983647316	4320.88663192782	4502.94487806135	4957.45654012978	4598.47832360576	4763.11810535896
gene-LOC117903150	992.882947307686	993.725292283673	1073.42242885713	1039.07235903707	1017.72915865297	1188.24535378428
gene-LOC117903152	95.8189865954173	71.7526669997113	53.1621223986143	85.570664861876	56.5966562905324	56.3149456769799
gene-LOC117892835	0	0	0	0.940336976504131	0	0
gene-LOC117892851	0	0	0	0	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	0	0	0	0
gene-LOC117893086	4.95615447907331	2.94873973971416	7.91776291043191	5.64202185902479	1.01065457661665	6.75779348123758
gene-LOC117903095	0	3.93165298628555	0	0	0	0
gene-LOC117897365	2.47807723953665	0	0	0.940336976504131	0	0
gene-LOC117892447	0	0.982913246571387	0	0	0	0
gene-LOC117889658	85.0806518907585	154.317379711708	121.028661630888	162.678296935215	179.896514637764	128.398076143514
gene-LOC117889739	3744.37470893989	3497.205331301	4310.65635023657	4510.79647629032	3436.22556049661	3960.06698000522
gene-LOC117893126	0	0	0	0	0	0
gene-LOC117889699	0	0	0	0	0	0
gene-LOC117893141	0	0	0	0	0	0
gene-LOC117889729	0	3.93165298628555	0	3.76134790601653	0	0
gene-LOC117893150	0.826025746512218	0	0	0	0	0
gene-LOC117889708	0	0	0	0.940336976504131	1.01065457661665	0
gene-LOC117889644	0	0.982913246571387	0	0	0	0
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	48.7355190442209	77.6501464791396	82.5709560659328	104.377404391959	90.9589118954986	74.3357282936134
gene-LOC117889675	0	0	0	0	0	0
gene-LOC117891408	183.377715725712	323.378458121986	272.597265916299	360.149062001082	499.263360848625	400.962413220097
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	0	4.91456623285694	0	0.940336976504131	7.07458203631656	0
gene-LOC117893198	0	0	0	0	0	0
gene-LOC117897981	0	0	0	0	0	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	1.65205149302444	0	0	0	0	0
gene-LOC117894638	0	2.94873973971416	0	0	0	0
gene-LOC117894973	0	0.982913246571387	0	0	0	0
gene-LOC117898618	169.335278035005	159.231945944565	144.781950362184	279.280082021727	229.41858889198	191.470815301732
gene-LOC117898339	4956.15447907331	5321.49231693749	5099.03931431815	4973.44226873035	4747.04454636841	5050.32432831155
gene-LOC117894747	0.826025746512218	0	0	0	0	0
gene-LOC117893217	2.47807723953665	0	0	0.940336976504131	2.0213091532333	2.25259782707919
gene-LOC117893239	2.47807723953665	0.982913246571387	0	2.82101092951239	2.0213091532333	0
gene-LOC117903334	1.65205149302444	1.96582649314277	0	4.70168488252066	2.0213091532333	0
gene-LOC117893254	0	0	0	0	0	0
gene-LOC117903338	297.369268744399	371.541207203984	325.759388314913	451.361748721983	499.263360848625	466.287750205393
gene-LOC117903333	3688.20495817705	2946.77391322102	3562.99330969436	2789.03947231125	3089.5710407171	3081.55382744434
gene-LOC117893463	1751.1745826059	2438.60776474361	2057.48724772509	2040.53123901397	2326.52683537153	2208.67216945115
gene-LOC117903336	2892.74216428579	3072.58680878216	3121.86080468458	2745.78397139206	3173.45537057628	2975.68172957162
gene-LOC117903339	382.449920635157	366.626640971127	272.597265916299	364.850746883603	419.42164929591	248.912059892251
gene-LOC117903335	9285.35541654385	9793.7475888373	9001.36532017388	8142.37787954927	8575.40408259228	7837.91413932206
gene-LOC117903340	3210.76207669299	3185.62183213787	3135.43411253104	3325.03154891861	3394.78872285533	3248.2460666482
gene-LOC117903341	1261.34131492416	1530.39592491165	1427.45954185215	1315.53143012928	1443.21473540858	1422.51552780051
gene-LOC117903342	494.789422160819	320.429718382272	490.901300446779	345.103670377016	294.100481795445	396.457217565938
gene-LOC117903364	741.771120367972	833.510433092536	805.349598889646	1262.87255944505	895.439954882353	911.175821053534
gene-LOC117903397	2132.79847749455	3146.30530227501	2626.43506828899	3656.97050162457	3234.09464517328	3126.60578398592
gene-LOC117903388	1562.0146866546	1969.75814612906	1752.08782117986	1768.77385280427	2096.09759190293	1782.93118013318
gene-LOC117903372	1811.47446210129	1987.45058456735	1875.37870078516	1901.36136649135	1827.2634745229	1726.6162344562
gene-LOC117896339	2337.65286262958	1380.9931114328	1632.19026853618	2054.63629366153	1520.02448323144	1452.92559846608
gene-LOC117897140	222.200925811787	269.31822956056	249.975086172208	275.518734115711	313.302918751162	277.069532730741
gene-LOC117899488	108.209372793101	83.5476259585679	35.0643786033413	68.6445992848016	57.6073108671491	66.4516358988362
gene-LOC117895602	978.014483870466	1229.62447146081	678.665392322735	1245.94649386797	1191.56174583103	953.975179768039
gene-LOC117897945	0	0	0	0	0	0
gene-LOC117898690	1106.04847457986	945.562543201675	1032.70250531776	804.928451887537	891.397336575886	899.912831918138
gene-LOC117894847	1554.58045493599	1445.86538570651	1491.93275412281	1529.92826077222	1607.95143139709	1616.23894092932
gene-LOC117889603	1098.61424286125	1027.1443426671	742.007495606191	1029.66898927202	846.928535204753	913.428418880613
gene-LOC117889607	3758.41714663059	3901.18267564184	3298.31380668849	3546.01073839708	3657.55891277566	3095.06941440681
gene-LOC117889606	56.9957765093431	73.718493492854	74.6531931555009	84.6303278853718	63.671238326849	63.0727391582175
gene-LOC117889605	1736.30611916868	1522.53261893908	1810.9054885145	1621.14094749312	1357.30909639616	1965.3916041266
gene-LOC117889604	76.8203944256363	82.5647127119965	61.0798853090462	96.8547085799255	60.6392745969991	92.356510910247
gene-LOC117893496	0	1.96582649314277	0	0	0	0
gene-LOC117893603	4350.67760687985	4672.76957420038	4508.60042299737	4587.90410836366	4419.59246354461	4746.22362165586
gene-LOC117893272	820.243566286633	796.159729722824	762.367457375873	893.320127678925	634.691074115257	860.492369944252
gene-LOC117895280	1383.59312540797	1117.57236135167	1320.00418806772	1033.43033717804	1095.54956105245	1424.76812562759
gene-LOC117892189	916.888578628562	607.440386381117	588.176673346371	543.514772419388	604.371436816757	506.834511092819
gene-LOC117892630	220.548874318762	266.369489820846	186.632982888752	250.129635750099	224.365316008896	183.586722906954
gene-LOC117893532	175.943484007102	191.668083081421	113.110898720456	189.00773227733	175.853896331297	136.282168538291
gene-LOC117893539	16.5205149302444	1.96582649314277	10.179980884841	11.2840437180496	0	27.0311739249503
gene-LOC117892728	3.30410298604887	0	0	0.940336976504131	1.01065457661665	0
gene-LOC117892499	4.13012873256109	6.88039272599971	18.0977437952729	5.64202185902479	3.03196372984995	7.88409239477718
gene-LOC117892672	6.60820597209775	7.8633059725711	5.65554493602279	5.64202185902479	7.07458203631656	4.50519565415839
gene-LOC117892418	85.9066776372707	86.4963656982821	89.3576099891602	96.8547085799255	70.7458203631656	100.240603305024
gene-LOC117892274	510.483911344551	522.909847175978	503.343499306029	920.589899997545	739.799150083388	689.294935086234
gene-LOC117892343	107.383347046588	134.65911478028	74.6531931555009	125.064817875049	133.406404113398	116.008788094579
gene-LOC117892656	78.4724459186607	70.7697537531399	71.2598661938872	78.0479690498429	65.6925474800823	93.4828098237866
gene-LOC117894262	3394.1397924187	3255.40867264443	3405.76916047293	2490.01231378294	2954.14332745047	3292.17172427624
gene-LOC117902570	4.95615447907331	16.7095251917136	6.78665392322735	16.9260655770744	11.1172003427832	10.1366902218564
gene-LOC117903362	4472.92941736366	6185.47306067374	5700.78929551098	5401.29559303973	6451.00816254408	6118.05569834709
gene-LOC117903359	4384.54466248685	4535.16171968038	4639.8090655131	5012.93642174352	4957.26069830467	4508.57455089901
