W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117896254	39.1996294994439	9.68493450676167	5.99417459189178	47.7033269527536	6.96474888802451	5.52697104029907
gene-LOC117896346	603.674294291435	548.812955383161	528.343674742461	639.224581166898	460.668390736478	651.077188547231
gene-LOC117896247	581.025619469534	646.738404284863	646.514545268328	745.231974395239	633.79214881023	565.961834526625
gene-LOC117896269	2247.44542463478	2697.79231205017	3284.8076763567	5508.14415214461	6662.27979345887	5514.81170401042
gene-LOC117896229	986.95956050822	1049.20123823251	871.724247792262	585.160810620444	918.351889092374	735.087148359777
gene-LOC117896259	2690.83678941738	2902.25204052625	2851.51448442852	3412.37798802031	3250.54780245372	3358.18760408572
gene-LOC117896250	755.246195022618	806.001771729388	671.347554291879	649.825320489732	711.39935070536	630.074698594095
gene-LOC117896349	10.453234533185	13.9893498431002	9.41941721582994	9.54066539055072	17.9093542834916	11.0539420805981
gene-LOC117896235	1722.17038934223	1718.53782303315	1527.65821027642	896.822546711767	1517.32029346248	1648.14276421718
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	206.451382030404	253.960504843973	249.186400891501	339.223658330692	259.685637110628	321.669714545406
gene-LOC117896163	1191.66873678309	1242.89992836775	1347.83297251967	1566.78927191488	974.06988019657	1046.80831503264
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	37.457423743913	37.663634192962	63.3669885428559	51.9436226818872	40.7935292012864	40.8995856982132
gene-LOC117896199	1050.5500705851	930.829816483205	1109.77861015596	981.62846129444	670.605821504074	914.161010065467
gene-LOC117896273	5637.77782489779	4918.87062560084	5207.22509904199	4785.17373032733	4778.81270131167	4213.76272112402
gene-LOC117896187	26512.8871876683	25526.2590483215	29131.688516594	36177.143087036	20259.4595511364	22279.2202634456
gene-LOC117896179	2144.65528505846	2380.3416809952	2483.30090235517	3379.51569611952	2157.08222703388	2257.21497285814
gene-LOC117896121	7447.92960489433	8507.67691227308	8082.71628183807	12031.8391314167	5993.66390020852	6982.77521231385
gene-LOC117896368	0	1.07610383408463	0	0	0	0
gene-LOC117896337	0.871102877765419	7.53272683859241	0	2.12014786456683	0.994964126860644	4.42157683223926
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	85.3680820210111	91.4688258971935	54.8038819830106	86.9260624472399	64.6726682459418	68.5344408997085
gene-LOC117896170	0	0	0	0	0	0
gene-LOC117903771	10.453234533185	2.15220766816926	5.13786393590724	8.4805914582673	6.96474888802451	2.21078841611963
gene-LOC117903770	4802.39016512076	4140.84755355766	4979.4464645501	3714.49905872108	4664.3918267227	5511.49552138624
gene-LOC117903767	2943.45662396935	2671.96582003214	2964.54749101848	2938.52494028962	2450.59664445777	2514.77182333608
gene-LOC117903769	4125.54322909702	4279.66494815457	4958.89500880647	6449.48980401228	4333.0687724781	4589.59675186435
gene-LOC117892081	4763.19053562131	4762.83556965857	6160.29885915278	10242.4343337223	3905.23419792803	4686.87144217362
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	4.3555143888271	5.38051917042315	5.99417459189178	8.4805914582673	4.97482063430322	9.94854787253833
gene-LOC117892142	2251.80093902361	2310.3949317797	2238.39605474359	2563.25876826129	1974.00882769152	2065.98177486379
gene-LOC117892062	6328.56240696577	5936.8648526449	7882.33958833769	9571.40753458694	4492.26303277581	5138.97767327008
gene-LOC117892133	4409.52276724855	4103.18391936469	4216.47367006787	3595.77077830534	3693.30683890671	3797.02910468546
gene-LOC117903522	4593.32547445705	4375.43818938811	4347.48920043351	3900.01199687068	4708.17024830457	5356.74033225786
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	13151.9112485023	14428.4002074067	14977.7296838256	16458.7078726323	20705.20347997	21382.7455607091
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	1.74220575553084	3.22831150225389	0	10.6007393228341	7.95971301488515	3.31618262417944
gene-LOC117892802	4.3555143888271	3.22831150225389	1.71262131196908	1.06007393228341	3.97985650744258	5.52697104029907
gene-LOC117903525	82.7547733877148	81.7838913904319	66.7922311667941	156.890941977945	87.5568431637367	113.855603430161
gene-LOC117903519	6443.5479868308	6083.21497408041	6417.19205594814	5998.95838279183	7982.59718980294	7107.68475782461
gene-LOC117903518	905.07588999827	701.619699823179	925.671819119288	630.743989708631	667.620929123492	759.405820937093
gene-LOC117901432	63048.6840869055	59827.0687597691	52475.5733093886	32783.8464297968	64831.8625062396	56644.8207978172
gene-LOC117903149	902.462581364974	812.458394733896	809.21356990539	435.690386168483	642.746825951976	689.765985829325
gene-LOC117903154	1484.35930371227	1837.98534861655	1724.60966115286	2487.99351906917	1468.56705124631	1637.08882213659
gene-LOC117903153	4.3555143888271	8.60883067267704	7.70679590386086	12.720887187401	7.95971301488515	6.63236524835889
gene-LOC117892819	4305.86152479447	4781.12933483801	4558.99793246169	4247.71624665964	4576.83498355896	5197.56356629725
gene-LOC117903150	973.021914463973	1058.88617273928	1009.59026340577	1845.58871610542	1049.68715383798	1157.34773583863
gene-LOC117903152	61.8483043213448	93.6210335653628	78.7805803505777	178.092420623613	87.5568431637367	77.377594564187
gene-LOC117892835	0	0	0	2.12014786456683	1.98992825372129	0
gene-LOC117892851	0	0	0	2.12014786456683	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	0	0	0	0
gene-LOC117893086	0	0	7.70679590386086	2.12014786456683	2.98489238058193	0
gene-LOC117903095	0	0	0	0	0	0
gene-LOC117897365	0	0	0	0	0	0
gene-LOC117892447	0.871102877765419	0	0	1.06007393228341	0	0
gene-LOC117889658	91.465802165369	109.762591076632	86.4873762544385	149.470424451961	124.37051585758	152.544400712254
gene-LOC117889739	3715.25377366951	3853.52782985706	3785.74941010765	2931.10442276364	4381.82201469427	4082.2208103649
gene-LOC117893126	0	0	0	0	0	0
gene-LOC117889699	0	0	0	0	0	0
gene-LOC117893141	0	0	0	0	0	0
gene-LOC117889729	0	0	0	2.12014786456683	5.96978476116386	6.63236524835889
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0	0	0
gene-LOC117889644	0	0	0	0	2.98489238058193	0
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	79.2703618766531	85.0122028926858	78.7805803505777	109.187615025192	88.5518072905973	128.225728134939
gene-LOC117889675	0	0	0	0	0	0
gene-LOC117891408	338.859019450748	398.158418611313	510.361150966786	286.219961716522	644.736754205697	736.192542567837
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	0	7.53272683859241	2.56893196795362	0	19.8992825372129	0
gene-LOC117893198	0	1.07610383408463	0	0	0	0
gene-LOC117897981	0	0	0	0	0.994964126860644	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0.994964126860644	0
gene-LOC117894638	0	0	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	146.34528346459	175.404924955795	186.67572300463	328.622919007858	275.605063140398	285.191705679432
gene-LOC117898339	5389.51350473465	5152.38515759721	5137.86393590724	5300.36966141706	3783.84857445103	4890.26397645662
gene-LOC117894747	0	2.15220766816926	0	0	0	0
gene-LOC117893217	1.74220575553084	2.15220766816926	1.71262131196908	4.24029572913365	0	0
gene-LOC117893239	0.871102877765419	0	0	0	0.994964126860644	0
gene-LOC117903334	0	0	0	1.06007393228341	0.994964126860644	0
gene-LOC117893254	0	0	1.71262131196908	0	0	0
gene-LOC117903338	300.53049282907	340.048811570743	349.374747641692	465.372456272418	537.280628504748	416.73361643855
gene-LOC117903333	2827.59994122655	2803.25048779046	2736.76885652659	2378.80590404398	2568.00241142732	2257.21497285814
gene-LOC117893463	2195.17925196886	1904.70378632979	1920.70480137332	1307.07115850545	1832.72392167731	2004.07969921244
gene-LOC117903336	3283.18674629786	2977.57930891217	2954.27176314666	1951.59610933376	3042.60029993985	2920.45149769403
gene-LOC117903339	248.264320163144	255.036608678057	367.357271417368	206.714416795266	298.489238058193	406.785068566012
gene-LOC117903335	9462.79056116575	8887.54156570496	8461.20559178324	4295.41957361239	7171.70142641152	7372.97936775897
gene-LOC117903340	3499.22025998369	3403.71642720968	3137.52224352735	2085.16542480147	3374.9183183113	2940.34859343911
gene-LOC117903341	1320.59196269238	1318.22719675367	1446.30869795789	879.861363795233	1196.94184461335	1296.62740605416
gene-LOC117903342	326.663579162032	436.89815663836	417.023289464471	523.676522548006	363.161906304135	331.618262417944
gene-LOC117903364	840.614277043629	888.861766953904	954.786381422762	942.405725799954	1199.92673699394	1098.76184281146
gene-LOC117903397	2302.324905934	2384.64609633154	2642.57468436829	2899.30220479513	3295.32118816245	3926.36022702846
gene-LOC117903388	2124.61991886986	1995.0965083929	1947.25043170884	1264.66820121411	1826.75413691614	1975.33944980289
gene-LOC117903372	2165.56175412483	1766.96249556696	1817.94752265518	1274.20886660466	1509.3605804476	1449.17180676642
gene-LOC117896339	2173.40168002472	1345.12979260579	1844.4931529907	1176.68206483459	1529.25986298481	1533.18176657896
gene-LOC117897140	265.686377718453	238.895051166788	239.766983675671	215.195008253533	249.735995842022	290.718676719731
gene-LOC117899488	70.5593330989989	168.948301951287	70.2174737907323	85.8659885149565	74.6223095145483	107.223238181802
gene-LOC117895602	625.451866235571	1136.36564879337	791.231046129715	630.743989708631	894.472750047719	774.88133984993
gene-LOC117897945	0	0	0	0	0	0
gene-LOC117898690	917.271330286986	793.088525720372	800.650463345545	443.110903694467	765.127413555835	682.028226372906
gene-LOC117894847	1425.99541090199	1355.89083094663	1427.46986352623	1219.08502212592	1480.50662076864	1544.23570865956
gene-LOC117889603	1099.33183173996	1025.52695388265	884.56890763203	998.589644210975	841.739651324105	859.996693870536
gene-LOC117889607	3372.9103427077	3406.94473871194	3219.72806650187	1575.26986337315	3182.8902418272	3172.48137713167
gene-LOC117889606	70.5593330989989	60.2618147087393	49.6660180471033	101.767097499208	94.5215920517612	103.907055557623
gene-LOC117889605	1596.73157494401	1561.4266632568	1442.88345533395	1892.23196912589	1521.30014996992	1585.13529435777
gene-LOC117889604	40.9418352549747	67.7945415473317	70.2174737907323	110.247688957475	87.5568431637367	111.644815014041
gene-LOC117893496	0	2.15220766816926	0	0	0	0
gene-LOC117893603	4647.33385287851	4137.6192420554	4364.6154135532	3849.12844812107	3671.41762811578	4347.51542029925
gene-LOC117893272	547.923710114449	826.447744576996	822.058229745158	1137.4593293401	646.726682459418	869.945241743074
gene-LOC117895280	1135.04704972834	1130.98512962295	1207.3980249382	2369.26523865343	897.457642428301	944.006653683082
gene-LOC117892189	523.532829537017	512.225425024284	607.124255093039	1080.2153369968	479.57270914683	426.682164311089
gene-LOC117892630	182.931604330738	345.429330741166	160.986403325094	178.092420623613	251.725924095743	172.441496457331
gene-LOC117893532	188.158221597331	180.785444126218	85.631065598454	243.817004425185	166.159009185728	108.328632389862
gene-LOC117893539	8.71102877765419	10.7610383408463	3.42524262393816	0	6.96474888802451	1.10539420805982
gene-LOC117892728	0.871102877765419	2.15220766816926	2.56893196795362	0	7.95971301488515	2.21078841611963
gene-LOC117892499	5.22661726659251	3.22831150225389	4.2815532799227	3.18022179685024	2.98489238058193	12.159336288658
gene-LOC117892672	7.83992589988877	8.60883067267704	6.85048524787632	12.720887187401	7.95971301488515	2.21078841611963
gene-LOC117892418	57.4927899325177	76.4033722200087	83.9184442864849	61.484288072438	104.471233320368	82.9045656044861
gene-LOC117892274	598.447677024843	582.172174239785	505.223287030879	802.475966738544	784.031731966187	884.315366447852
gene-LOC117892343	125.43881439822	109.762591076632	44.5281541111961	95.4066539055072	113.425910462113	39.7941914901533
gene-LOC117892656	33.9730122328513	40.8919456952159	13.7009704957526	30.742144036219	75.6172736414089	23.2132783692561
gene-LOC117894262	2770.10715129403	2918.39359803752	3126.39020499955	4637.82345373993	2461.54124985323	2660.68385879997
gene-LOC117902570	13.0665431664813	21.5220766816926	10.2757278718145	5.30036966141707	9.94964126860644	7.73775945641871
gene-LOC117903362	6106.43117313559	5727.0246049984	5472.68140239719	3838.52770879824	5539.96025836006	5219.67145045845
gene-LOC117903359	5115.11609823854	4375.43818938811	4151.39406021305	3203.54342336047	5017.60409175823	4220.39508637237
gene-LOC117903358	930.337873453468	1033.05968072124	1007.8776420938	1301.77078884403	1313.35264745605	1589.55687119001
gene-LOC117903361	3858.98574850081	4034.31327398328	3696.69310188526	6488.71253950677	6860.27765470414	6580.41172058008
