C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W
gene-LOC117901768	678.57869703637	948.307991221688	704.735089991468	747.395629619807	689.720916312001	683.869270062579
gene-LOC117892351	184.755880537634	233.206352943293	138.352901102619	170.60117632626	210.831721143407	162.186518730853
gene-LOC117893052	355.826140294702	397.70875958379	409.005763884619	397.053928235522	496.960485552315	602.259493121576
gene-LOC117893057	2.28093679676091	3.87064486212934	3.45882252756549	3.04644957725465	1.00396057687336	1.03303515115193
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	671.735886646088	739.293168666704	447.91751731973	388.930062696176	486.920879783582	378.090865321607
gene-LOC117894226	11304.3227647471	14010.7667396927	10999.9203432901	11410.9846332035	10566.6850715922	12765.2153627844
gene-LOC117903638	1900.02035170184	1672.11858043987	2013.03471104311	1644.06728852509	1881.42212106069	1858.43023692233
gene-LOC117903819	1933.09393525487	2027.25024654024	2292.33463014403	1844.11747743148	1982.82213932489	2045.40959928083
gene-LOC117903704	5152.63622388289	5229.24120873674	5677.65717899874	5069.29209655173	5790.84460740557	5051.54188913295
gene-LOC117892367	289.678973188635	157.728778131771	229.146992451213	144.198613323387	95.3762548029696	158.054378126246
gene-LOC117903337	4882.34521346673	5053.12686750985	4915.85151730245	4566.62791630471	5012.77516032871	4498.86808326666
gene-LOC117894282	5.70234199190227	0	0	0	0	0
gene-LOC117892375	0	0	0	0	0	0
gene-LOC117889610	7541.91751848995	6346.88991267658	6991.14503384174	7377.48539291834	8960.34814859478	6163.08771177243
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	887.284413939994	478.992301688506	595.782180373155	618.429264182693	456.802062477381	436.973868937267
gene-LOC117897219	3080.40514402561	3201.9909621965	3132.82850434244	3166.27659396	4444.53347381838	3196.21075766408
gene-LOC117896423	3078.12420722885	3426.4883642	2830.18153318046	2889.04968242982	3246.80850560846	3128.03043768805
gene-LOC117901738	180.194006944112	279.654091288845	291.405797947392	215.282436792662	268.057474025188	296.481088380604
gene-LOC117895356	411.709091815344	416.094322678904	332.046962646287	337.140419882848	315.243621138236	478.295274983344
gene-LOC117895424	9790.9212000962	10558.1515226733	9957.95005686103	9498.82978187999	10311.6790850663	9536.98051543464
gene-LOC117893958	2341.38162187507	1944.99904321999	2406.47577355369	2087.83344361185	1685.64980857038	1790.2499169463
gene-LOC117893965	515.491716067965	504.151493292346	559.464543833717	467.122268512379	430.699087478673	560.938087075499
gene-LOC117893974	84.3946614801536	76.4452360270544	82.1470350296803	99.5173528569851	46.1821865361748	90.90709330137
gene-LOC117893951	741.304458947295	701.554381260943	796.393886971953	709.822751500333	596.352582662779	788.205820328924
gene-LOC117899032	826.83958882583	811.867759831629	928.693848651333	860.114263978228	792.124895153085	853.287034851496
gene-Trnag-gcc	3.42140519514136	7.74128972425868	3.45882252756549	1.01548319241822	0	3.0991054534558
gene-LOC117892385	0	0.967661215532335	0	0	0	0
gene-LOC117902577	103.782624252621	135.472570174527	109.817615250204	93.4244537024758	118.467348071057	109.501726022105
gene-LOC117895077	0	0	0	1.01548319241822	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	2.28093679676091	2.902983646597	2.59411689567411	1.01548319241822	1.00396057687336	1.03303515115193
gene-LOC117892461	2.28093679676091	0	0	0	0	0
gene-LOC117901524	5506.18142738083	4727.99269909099	5142.40439285798	4988.05344115827	5110.15933628543	5145.54808788777
gene-LOC117892471	67.2876355044468	29.02983646597	34.5882252756548	29.4490125801282	14.0554480762271	29.958019383406
gene-LOC117900768	605.588719540021	435.447546989551	448.782222951622	501.648697054598	537.11890862725	521.682751331726
gene-LOC117900589	7165.5629470244	7575.81965640265	7024.8685534855	7203.83776701482	8545.71243034608	7753.9618445464
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	5.70234199190227	6.77362850872634	4.32352815945686	0	3.01188173062009	3.0991054534558
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	1.14046839838045	1.93532243106467	1.72941126378274	0	1.00396057687336	1.03303515115193
gene-LOC117900753	1.14046839838045	0	0	2.03096638483643	1.00396057687336	0
gene-LOC117892481	0	1.93532243106467	0	1.01548319241822	0	1.03303515115193
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	17.1070259757068	38.7064486212934	19.0235239016102	18.2786974635279	27.1069355755808	34.0901599880138
gene-LOC117896741	7.98327878866318	7.74128972425868	6.91764505513097	7.10838234692751	13.0514874993537	2.06607030230386
gene-LOC117896721	3.42140519514136	6.77362850872634	8.64705631891371	8.12386553934572	15.0594086531005	9.29731636036739
gene-LOC117896749	14.8260891789459	6.77362850872634	10.3764675826965	23.356113425619	24.0950538449607	42.3544411972292
gene-LOC117896730	1901.16082010022	1594.70568319729	2191.16407121274	1831.93167912246	1598.3052383824	1654.92231214539
gene-LOC117889638	4297.28492509755	3988.69953042428	4176.52820203532	4084.27339990606	4322.05028343983	4204.45306518836
gene-LOC117889639	66752.7558256064	106098.246315827	77209.5658715805	76784.7461115109	79913.2539979661	94334.7039328921
gene-LOC117890361	1.14046839838045	0	0	0	4.01584230749346	2.06607030230386
gene-LOC117902120	672.876355044468	650.268336837729	995.276182306968	781.922058162026	740.922905732543	1450.38135221731
gene-LOC117891813	1.14046839838045	0	1.72941126378274	1.01548319241822	0	0
gene-LOC117891157	2.28093679676091	1.93532243106467	0	2.03096638483643	0	2.06607030230386
gene-LOC117893744	2.28093679676091	3.87064486212934	0	0	3.01188173062009	1.03303515115193
gene-LOC117892289	277.13382080645	493.507219921491	257.682278303629	249.808865334881	309.219857676996	287.183772020237
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	1.93532243106467	0	0	0	0
gene-LOC117892304	33.0735835530332	18.3855630951144	27.6705802205239	38.5883613118922	21.0831721143407	40.2883708949253
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	20.5284311708482	29.9974976815024	21.6176407972843	34.5264285422193	7.02772403811355	28.9249842322541
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	0	0	0.864705631891371	0	1.00396057687336	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	68.4281039028273	62.8979790096018	62.2588054961787	56.8670587754201	72.2851615348822	127.063323591688
gene-LOC117903382	812.013499646884	1009.27064780023	671.876275979596	722.008549809351	946.734823991583	795.437066386988
gene-LOC117903384	0	0	0	0	0	0
gene-LOC117903386	2.28093679676091	3.87064486212934	0	0	0	0
gene-LOC117903385	201.86290651334	264.171511840327	189.37053338421	159.43086120966	106.419821148577	179.748116300436
gene-LOC117903381	2689.22448338111	3454.55053945043	2340.75814552994	3052.54247640916	3290.98277099089	3312.94372974425
gene-LOC117903387	15.9665575773264	11.611934586388	11.2411732145878	10.1548319241822	23.0910932680874	11.3633866626713
gene-LOC117896133	2264.97023918358	2392.05852479593	2511.10515501254	2358.96745598751	2803.05793063043	2761.30295902911
gene-LOC117892719	0	0.967661215532335	0	2.03096638483643	1.00396057687336	0
gene-LOC117892729	1.14046839838045	0	0	0	0	0
gene-LOC117896254	10.2642155854241	8.70895093979101	15.5647013740447	11.1703151166004	17.0673298068472	18.5946327207348
gene-LOC117896346	585.060288369173	534.148990973849	597.511591636938	574.76348690871	547.158514395984	505.154188913295
gene-LOC117896247	1003.6121905748	848.638886021858	903.617385326483	993.142562185015	1007.97641918086	834.692402130761
gene-LOC117896269	4556.17125152992	2770.41406006907	3471.79311204386	3493.26218191866	2447.65588641726	5088.73115457442
gene-LOC117896229	883.863008744852	749.937442037559	961.552662663205	821.525902666336	729.879339386936	776.842433666253
gene-LOC117896259	2962.93689899242	2962.01098074448	2450.57576078015	3112.45598476183	2958.67182004581	2733.41100994801
gene-LOC117896250	696.826191410458	750.905103253092	733.270375843883	746.380146427388	805.176382652438	630.151442202678
gene-LOC117896349	9.12374718704364	25.1591916038407	4.32352815945686	12.1857983090186	10.0396057687336	10.3303515115193
gene-LOC117896235	1425.58549797557	1227.96208251053	1580.68189509743	1402.38228872956	1428.6359008908	1310.9216068118
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	207.565248505243	300.942638030556	198.017589703124	277.226911530173	211.83568172028	263.423963543743
gene-LOC117896163	1517.96343824439	1737.91954309607	1835.77005650538	1588.21571294209	1681.63396626289	1463.81080918229
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	47.8996727319791	39.6741098368257	41.5058703307858	45.6967436588197	44.174265382428	30.991054534558
gene-LOC117896199	1160.9968295513	1051.84774128365	1115.47026513987	1302.86493587257	1168.6101114806	998.944991163918
gene-LOC117896273	6059.30860059535	4983.45525999152	5174.39850123797	4997.19278989004	5385.24453434873	4633.16265291642
gene-LOC117896187	32775.9213010559	34244.5627564738	35753.8484674444	32869.1599721928	34551.3032530968	30234.8728039147
gene-LOC117896179	3114.61919597702	3138.12532197136	3035.9814735706	3304.38230812887	3732.72542481517	3034.02423893322
gene-LOC117896121	9203.57997493027	10489.4475763705	8408.3975645117	8258.92480393735	9463.33239760833	9209.50837251947
gene-LOC117896368	0	0	0	0	0	0
gene-LOC117896337	2.28093679676091	6.77362850872634	0	0	2.00792115374673	2.06607030230386
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	74.1304458947295	59.9949953630048	87.3352688210285	97.4863864721487	74.293082688629	51.6517575575966
gene-LOC117896170	0	0	1.72941126378274	0	0	1.03303515115193
gene-LOC117903771	4.56187359352182	4.83830607766167	4.32352815945686	1.01548319241822	3.01188173062009	9.29731636036739
gene-LOC117903770	3854.78318652594	3825.16478499932	4357.25167910062	4573.73629865164	3700.59868635522	4254.03875244366
gene-LOC117903767	3165.94027390414	3014.26468638322	3614.46954130593	3180.49335865385	3543.98083636298	3013.36353591019
gene-LOC117903769	5078.50577798816	5189.56709889991	4441.99283102597	5550.63112975797	5188.46826128155	5252.98374360757
gene-LOC117892081	8480.52301035706	9712.41562029804	9349.19729200951	8479.2846566921	11436.1149311645	9015.29776410291
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	0	16.4502406640497	3.45882252756549	2.03096638483643	4.01584230749346	7.23124605806352
gene-LOC117892142	2465.69267729854	2607.84697585964	2881.19916546205	2575.26537597259	2985.77875562139	2733.41100994801
gene-LOC117892062	9576.51314120068	9979.49011578497	10970.5203518058	9998.44751254975	11859.7862946051	9664.04383902632
gene-LOC117892133	4718.11776409994	3957.73437152725	5084.46911552126	4400.08867274813	4612.19489015624	4259.20392819942
gene-LOC117903522	3592.47545489843	4478.33610548365	3792.59890147555	3876.09934546033	3612.25015559037	4095.98437431741
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	13661.6709441995	13749.4982114989	12897.0844996598	13812.6023832726	12327.631923428	16080.225162831
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	4.56187359352182	0	14.6999957421533	1.01548319241822	2.00792115374673	13.4294569649751
gene-LOC117892802	1.14046839838045	3.87064486212934	0	2.03096638483643	6.02376346124019	1.03303515115193
gene-LOC117903525	72.9899774963491	103.53975006196	71.7705674469838	90.3780041252212	114.451505763564	107.435655719801
gene-LOC117903519	6055.88719540021	5881.44486800553	5569.56897501232	5851.21415471376	5868.14957182482	6162.05467662127
gene-LOC117903518	842.806146403156	620.270839156227	855.193869940566	764.658843890916	635.50704516084	676.638024004515
gene-LOC117901432	51634.7067366751	41336.5518051103	46752.0393994708	46930.5557376078	38476.7891086717	46281.0078067577
gene-LOC117903149	509.789374076063	589.305680259192	739.323315267122	621.475713759948	547.158514395984	510.319364669054
gene-LOC117903154	2014.06719153988	2124.98402930901	1603.1642415266	1841.07102785422	1719.78446818407	1759.25886241174
gene-LOC117903153	4.56187359352182	8.70895093979101	4.32352815945686	5.07741596209108	5.01980288436682	12.3964218138232
gene-LOC117892819	4170.69293287732	3856.12994389635	3921.44004062737	4074.11856798188	3625.30164308972	4066.026354934
gene-LOC117903150	986.505164599093	1341.17844472782	1033.32323011019	1274.43140648486	1452.73095473576	1411.12601647354
gene-LOC117903152	76.4113826914905	100.636766415363	76.0940956064407	98.5018696645669	126.499032686044	90.90709330137
gene-LOC117892835	0	0	0.864705631891371	0	0	0
gene-LOC117892851	0	0	0	0	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	0	0	0	2.06607030230386
gene-LOC117893086	2.28093679676091	13.5472570174527	1.72941126378274	1.01548319241822	5.01980288436682	1.03303515115193
gene-LOC117903095	0	0	0	0	0	0
gene-LOC117897365	0	0	0	0	0	0
gene-LOC117892447	0	0	2.59411689567411	2.03096638483643	0	1.03303515115193
gene-LOC117889658	91.2374718704364	104.507411277492	85.6058575572458	112.718634358422	148.586165377258	123.964218138232
gene-LOC117889739	3175.06402109119	3221.34418650714	3130.23438744676	2942.87029162799	2677.56285852126	3645.58104841517
gene-LOC117893126	0	0	0	0	0	0
gene-LOC117889699	0	0	0	0	0	0
gene-LOC117893141	0	0	0	0	0	0
gene-LOC117889729	1.14046839838045	1.93532243106467	0	1.01548319241822	2.00792115374673	2.06607030230386
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0	0	0
gene-LOC117889644	3.42140519514136	6.77362850872634	2.59411689567411	0	1.00396057687336	1.03303515115193
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	53.6020147238814	120.957651941542	99.4411476675077	87.3315545479665	100.396057687336	109.501726022105
gene-LOC117889675	4.56187359352182	0.967661215532335	0	1.01548319241822	1.00396057687336	0
gene-LOC117891408	190.458222529536	288.363042228636	155.647013740447	255.90176448939	283.116882678289	405.982814402709
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	1.14046839838045	7.74128972425868	4.32352815945686	1.01548319241822	8.03168461498692	1.03303515115193
gene-LOC117893198	0	0	0	0	0	0
gene-LOC117897981	0	0	0	0	0	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0	0
gene-LOC117894638	0	0.967661215532335	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	141.418081399176	164.502406640497	154.782308108555	235.592100641026	194.768351913433	224.168627799969
gene-LOC117898339	5093.33186716711	5647.2708538467	4984.16326222186	4625.52594146497	4489.71169977769	4580.47786020767
gene-LOC117894747	0	0	0	0	2.00792115374673	1.03303515115193
gene-LOC117893217	0	1.93532243106467	0	0	0	2.06607030230386
gene-LOC117893239	0	2.902983646597	0	0	6.02376346124019	3.0991054534558
gene-LOC117903334	1.14046839838045	0	0	0	5.01980288436682	0
gene-LOC117893254	0	0	0	0	0	0
gene-LOC117903338	345.561924709278	490.604236274894	316.482261272242	280.273361107427	405.600073056839	432.841728332659
gene-LOC117903333	3237.78978300211	2594.29971884219	3383.59313759094	2902.25096393126	2964.69558350705	2973.07516501526
gene-LOC117893463	1487.17079148811	1768.88470199311	2030.32882368094	1866.45810766468	1960.73500663368	1674.54998001728
gene-LOC117903336	2272.95351797225	2035.95919748003	2697.88157150108	2160.94823346596	2337.22022296119	2480.31739791579
gene-LOC117903339	275.99335240807	225.465063219034	222.229347396082	398.06941142794	264.041631717695	176.64901084698
gene-LOC117903335	7259.08135569159	6258.83274206314	7934.53887823522	7037.29852345823	6626.13980736421	5773.63345978815
gene-LOC117903340	2698.34823056816	2439.47392435702	2878.60504856637	2594.55955662854	2531.98857487463	2403.87279673055
gene-LOC117903341	1143.8898035756	1197.96458482903	1351.53490264621	1285.60172160146	1331.25172493408	1065.05924083764
gene-LOC117903342	528.03686845015	420.932628756566	551.682193146695	468.137751704797	511.015933628543	538.211313750157
gene-LOC117903364	682.000102231512	603.820598492177	603.564531060177	750.442079197061	668.637744197661	903.90575725794
gene-LOC117903397	2494.20438725805	2678.4862445935	2018.22294483446	2238.12495608975	1979.81025759427	2525.77094456647
gene-LOC117903388	1189.50853951081	1428.26795412573	1514.96426707368	1449.09451558079	1406.54876819958	1505.13221522836
gene-LOC117903372	1678.76948241603	1538.58133269641	1745.84067078868	1542.51896928327	1444.69927012077	1466.90991463574
gene-LOC117896339	1765.44508069294	1055.71838614578	1649.85834564874	1808.57556569684	1198.7289287868	1360.50729406709
gene-LOC117897140	222.391337684189	209.014822554984	204.935234758255	220.359852754753	183.724785567826	174.582940544676
gene-LOC117899488	98.0802822607191	89.0248318289748	102.035264563182	92.4089705100576	149.590125954131	41.3214060460773
gene-LOC117895602	1061.7760788922	773.161311210335	1009.11147241723	894.640692520448	649.562493237067	734.487992469024
gene-LOC117897945	0	0	0	0	0	0
gene-LOC117898690	800.608815663079	695.748413967749	826.658584088151	598.119600334329	673.657547082028	708.662113690225
gene-LOC117894847	1480.32798109783	1298.60135124439	1302.24668162841	1223.65724686395	1220.81606147801	1249.97253289384
gene-LOC117889603	1002.47172217642	1080.87757774962	824.929172824368	962.678066412468	869.429859572334	720.025500352897
gene-LOC117889607	2769.05727126774	2141.43426997306	2915.7873907377	2770.23814891689	2745.83217774865	2276.80947313886
gene-LOC117889606	72.9899774963491	83.2188645357808	45.8293984902427	86.3160713555483	97.3841759567164	130.162429045143
gene-LOC117889605	1635.43168327757	1558.90221822259	1751.02890458003	1726.32142711097	1674.60624222477	1822.27400663201
gene-LOC117889604	60.4448251141641	80.3158808891838	55.3411604410478	80.223172201039	88.3485307648561	108.468690870953
gene-LOC117893496	0	0	0	0	3.01188173062009	0
gene-LOC117893603	3942.59925320123	3968.3786448981	4373.68108610656	4125.90821079521	4120.25420748829	3969.95408587687
gene-LOC117893272	670.595418247707	1093.45717355154	605.29394232396	835.742667360191	886.497189379181	850.18792939804
gene-LOC117895280	1426.72596637395	1882.10106421039	1687.90539345196	1822.7923303907	2153.49543739337	1852.23202601541
gene-LOC117892189	908.953313509222	867.992110332504	706.46450125525	1108.90764612069	1154.55466340437	757.214765794366
gene-LOC117892630	159.665575773264	284.492397366506	180.723477065297	228.483718294098	167.661416337852	256.192717485679
gene-LOC117893532	131.153865813752	147.084504760915	156.511719372338	178.725041865606	161.637652876612	121.898147835928
gene-LOC117893539	5.70234199190227	0.967661215532335	24.2117576929584	8.12386553934572	5.01980288436682	27.8919490811022
gene-LOC117892728	0	0.967661215532335	1.72941126378274	2.03096638483643	3.01188173062009	0
gene-LOC117892499	15.9665575773264	3.87064486212934	6.0529394232396	4.06193276967286	5.01980288436682	2.06607030230386
gene-LOC117892672	4.56187359352182	1.93532243106467	6.0529394232396	8.12386553934572	3.01188173062009	4.13214060460773
gene-LOC117892418	80.9732562850123	86.1218481823778	66.5823336556356	91.3934873176394	46.1821865361748	68.1803199760275
gene-LOC117892274	484.699069311693	540.922619482575	409.005763884619	529.06674324989	546.15455381911	622.920196144615
gene-LOC117892343	44.4782675368377	120.957651941542	98.5764420356163	59.9135083526747	81.3208067267425	97.1053042082816
gene-LOC117892656	54.7424831222618	35.8034649746964	40.6411646988944	71.0838234692751	28.1108961524542	73.3454957317872
gene-LOC117894262	3706.52229473648	3643.24447647924	3920.57533499548	3345.0016358256	4532.88200458324	3749.91759868151
gene-LOC117902570	5.70234199190227	11.611934586388	8.64705631891371	12.1857983090186	13.0514874993537	9.29731636036739
gene-LOC117903362	4138.75981772267	4770.56979257441	5199.47496456282	4028.42182432306	4195.55125075379	4936.87498735508
