C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	W_PT1_G23_C	W_PT2_G23_C	W_PT3_G23_C	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117903469	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903467	2.16801809359257	0	0	0	0	0	0	0	0	0	0	1.06476811456964
gene-LOC117903468	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903465	4.33603618718514	0	0.973134193973928	1.65364254349752	0	0.820995540849685	0	0	4.24149710005253	0.942620923708679	1.05185851034803	4.25907245827854
gene-LOC117894778	0	2.27004650077889	0	0	0	0	1.01393804061635	0	0	0.942620923708679	0	0
gene-LOC117897509	1810.2951081498	2087.30775746619	2436.72802171072	1763.60977264011	1860.29053497515	2316.84941627781	2279.33271530555	2188.74752932546	2289.34805975335	2177.45433376705	1994.32373561987	2490.49261997838
gene-LOC117900915	753.386287523418	602.697345956794	710.387961600968	686.261655551471	693.615252098769	681.426298905239	842.582511752185	550.567560333411	548.213500181789	652.293679206406	545.914566870629	655.897158574896
gene-LOC117901768	793.49462225488	786.571112519884	773.641684209273	753.23417856312	771.943274624038	761.883861908508	744.230521812399	736.021896445718	707.269641433759	630.613397961106	695.27847534005	792.187477239809
gene-LOC117892351	98.6448232584619	154.363162052964	104.12535875521	94.2576249793586	158.717308801204	108.371411392158	306.209288266137	78.2385480473795	77.4073220759586	87.6637459049071	56.8003595587938	125.642637519217
gene-LOC117893052	266.666225511886	298.511114852423	214.089522674264	349.745397949725	363.81305199237	288.990430379089	912.544236554713	339.033708205311	240.704960427981	334.630427916581	177.764088248818	247.026202580156
gene-LOC117893057	3.25202714038885	2.27004650077889	0	0.82682127174876	0	0.820995540849685	2.02787608123269	0.965908000584932	3.1811228250394	0.942620923708679	0	1.06476811456964
gene-LOC117893060	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117894235	568.020740521253	667.393671228992	710.387961600968	486.99772906002	551.388053302884	487.671351264713	444.10486178996	469.431288284277	458.081686805673	419.466311050362	431.261989242694	470.627506639779
gene-LOC117894226	13453.6362797887	12751.9862181254	13548.947382699	12423.8164292969	12804.5704191309	12830.5183123989	13195.3896605811	15565.6074294262	16218.4245363259	13359.7663517231	15718.973578641	13963.3690544662
gene-LOC117903638	1828.72326194533	1852.35794463557	2147.70716610046	1986.85151601227	1718.06333617927	1802.08521216506	1622.30086498616	1740.56621705405	1763.40241934684	1937.08599822133	1665.09202188094	1784.55136001871
gene-LOC117903819	1866.6635785832	2417.59952332951	2454.24443720225	2301.87042054855	2255.0225432275	2340.65828696245	2027.87608123269	2274.71334137752	2182.25025797703	2168.97074545367	2275.1699578828	2053.93769300483
gene-LOC117903704	5076.414366147	4330.11370023572	5042.7813931729	4359.00174465946	3945.25881877279	4855.36762858504	4542.44242196124	3388.40526605194	3736.75894514628	3967.49146788983	3800.36479788745	3913.02282104341
gene-LOC117892367	259.078162184312	221.329533825941	237.444743329638	257.141415513864	265.903023835783	274.212510643795	111.533184467798	181.590704109967	241.765334702994	168.729145343854	193.541965904038	200.176405539092
gene-LOC117903337	3198.91069709584	3948.74588810487	4073.53973597486	3303.1509806363	3275.34809980667	3715.82581788567	4407.58866255926	2954.71257378931	3150.37197106401	3524.45963374675	2907.33692260196	3478.597430299
gene-LOC117894282	0	0	0	0	0	0	0	0	0	0	0	1.06476811456964
gene-LOC117892375	2.16801809359257	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889610	4515.98168895332	4158.72518942692	5284.11867327843	4393.72823807291	4255.47901324787	5593.4426198089	6213.41231289698	4111.87035849006	4538.4018970562	4502.90015255636	4126.44093609534	4797.84512425078
gene-LOC117889611	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889612	537.668487210957	427.90376539682	584.853650578331	470.461303625044	355.56799698971	523.795155062099	533.331409364199	394.090464238652	468.685429555804	419.466311050362	363.94304458042	504.700086306008
gene-LOC117897219	1434.14396891148	1494.8256207629	1618.32216457864	1565.99948869215	1419.18009233284	1906.35164585297	3689.72052980289	1218.0099887376	1452.71275676799	1634.50468171085	1119.17745501031	1587.56925882333
gene-LOC117896423	2550.67328711166	2388.08891881939	2255.72506163157	2716.93469896643	2498.25166580597	2734.7361465703	4205.81499247661	2412.83818546116	2545.95863430653	2576.18298449582	2175.24339939973	2857.8376195049
gene-LOC117901738	241.734017435572	266.730463841519	187.814899436968	299.309300373051	238.075963201806	208.53286737582	430.923667261948	267.556516162026	306.448165478795	335.57304884029	217.734711642043	306.653216996055
gene-LOC117895356	420.595510156958	370.017579626958	375.629798873936	250.526845339874	340.108518859723	429.380667864385	597.209505923029	531.249400321713	675.458413183365	429.835141211158	532.240406236105	437.61969508812
gene-LOC117895424	8552.83137922269	8460.46330840291	7946.6138279911	9427.41614047936	8857.25033660745	9413.53487138249	11135.0675620487	7814.1957247321	8381.19826970379	8578.79302667269	7735.36748509944	8909.97958271872
gene-LOC117893958	2496.47283477184	2329.06770979914	2388.07131201202	2612.75521872608	2296.2478182408	2430.14680091507	1408.35993841611	2345.22462542022	2045.46197650033	2164.25764083513	2364.57793126238	1990.05160613065
gene-LOC117893965	842.275029360713	791.111205521442	694.817814497385	802.016633596297	738.963054613398	677.32132120099	374.143136987432	901.192164545742	818.608940310138	826.678550092511	846.746100830167	817.741911989481
gene-LOC117893974	46.6123890122402	124.852557542839	123.588042634689	121.542726947068	157.686676925872	101.803447065361	64.8920345994462	141.0225680854	125.12416445155	111.229268997624	119.911870179676	117.12449260266
gene-LOC117893951	845.527056501102	821.756833281957	888.471519098196	896.274258575656	929.62995154991	773.377799480403	486.690259495847	841.305868509476	721.05450700893	910.571812302584	901.442743368265	779.410259864974
gene-LOC117899032	723.034034213122	699.174322239897	834.94913842963	679.647085377481	609.103438321504	692.099240936285	821.289812899241	622.044752376696	577.903979882157	739.957425111313	653.204134926129	606.917825304693
gene-Trnag-gcc	7.58806332757399	1.13502325038944	1.94626838794786	0.82682127174876	4.12252750132998	0.820995540849685	4.05575216246539	4.82954000292466	1.06037427501313	1.88524184741736	2.10371702069607	0
gene-LOC117892385	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902577	145.257212270702	119.177441290891	129.426847798532	148.001007643028	147.380358172547	94.4144871977138	172.369466904779	133.295304080721	81.6488191760111	101.803059760537	93.615407420975	90.5052897384191
gene-LOC117895077	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117892404	0	0	0	0	2.06126375066499	0	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117891248	5.42004523398142	3.40506975116833	9.73134193973928	0.82682127174876	2.06126375066499	0	0	3.86363200233973	3.1811228250394	2.82786277112604	3.1555755310441	4.25907245827854
gene-LOC117892461	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117901524	4215.71118299075	4770.50272138683	5497.23506175872	4511.96367993298	4083.36349006734	4646.01376566837	4875.0140992834	4072.26813046607	4677.31092708292	4604.7032123169	3961.29914997069	5544.2475725641
gene-LOC117892471	26.0162171231108	46.5359532659672	3.89253677589571	28.1119232394578	47.4090662652947	6.56796432679748	22.3066368935596	57.9544800350959	4.24149710005253	22.6229021690083	33.6594723311371	2.12953622913927
gene-LOC117900768	369.647084957533	388.177951633189	408.71636146905	364.628180841203	422.559068886323	464.683476120922	586.056187476249	363.181408219934	437.934575580423	371.392643941219	355.528176497635	374.798376328512
gene-LOC117900589	4236.30735487988	4792.06816314423	4603.89787169065	4516.92460756348	4595.58753210759	5755.99973689714	10238.7463341439	3961.18871039881	5092.97764288807	4965.72702609732	3455.35520649329	5285.50892072367
gene-LOC117900729	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117900761	2.16801809359257	2.27004650077889	0.973134193973928	2.48046381524628	4.12252750132998	0.820995540849685	5.06969020308174	0	2.12074855002626	0	1.05185851034803	2.12953622913927
gene-LOC117900739	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117900717	0	1.13502325038944	0	0.82682127174876	1.03063187533249	0	3.04181412184904	0	0	2.82786277112604	1.05185851034803	1.06476811456964
gene-LOC117900753	1.08400904679628	1.13502325038944	0	0	0	0	0	0	0	0	0	0
gene-LOC117892481	0	2.27004650077889	1.94626838794786	0	0	0	4.05575216246539	1.93181600116986	5.30187137506566	0	2.10371702069607	2.12953622913927
gene-LOC117903160	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117890984	7.58806332757399	27.2405580093466	8.75820774576535	36.3801359569454	11.3369506286574	18.8828974395428	29.4042031778741	28.011332016963	72.105450700893	14.1393138556302	22.0890287173087	28.7487390933802
gene-LOC117896741	5.42004523398142	2.27004650077889	7.78507355179142	5.78774890224132	3.09189562599748	9.85194649019622	9.12544236554713	17.3863440105288	61.5017079507616	9.42620923708679	3.1555755310441	9.58291303112672
gene-LOC117896721	2.16801809359257	1.13502325038944	0.973134193973928	0	0	4.92597324509811	20.2787608123269	0.965908000584932	11.6641170251444	8.48358831337811	0	4.25907245827854
gene-LOC117896749	7.58806332757399	13.6202790046733	16.5432812975568	8.2682127174876	14.4288462546549	15.598915276144	19.2648227717106	13.522712008189	28.6301054253546	11.3114510845041	9.4667265931323	43.6554926973551
gene-LOC117896730	2074.79331556809	2267.77645427811	2428.94294815892	2525.93898519246	2209.67474071287	2345.58426020755	1051.45374811915	1943.40689717688	1754.91942514673	2098.27417617552	2186.81384301356	1831.40115705977
gene-LOC117889638	3167.47443473874	3216.65589160368	3908.10692299929	3460.24702226856	3119.72268663146	3555.73168741999	3909.74508461664	2980.7920898051	3364.56757461667	3675.27898154014	3125.07163424401	3619.14682142219
gene-LOC117889639	84046.4734252564	107532.102741896	79956.5979136738	95377.9678025782	110006.554477364	89643.6821098363	114184.63244401	93613.8716006904	105974.865419087	96513.0711366842	84773.4847829894	109283.540206969
gene-LOC117890361	0	0	0	0	5.15315937666247	0	0	1.93181600116986	0	0	2.10371702069607	0
gene-LOC117902120	697.017817090011	582.266927449784	672.435728035984	494.439120505758	653.420608960801	975.342702529426	1851.45086216545	811.362720491343	1038.10641523786	1073.64523210419	847.797959340515	943.384549508698
gene-LOC117891813	3.25202714038885	1.13502325038944	4.86567096986964	3.30728508699504	6.18379125199496	0	2.02787608123269	0.965908000584932	0	0	0	4.25907245827854
gene-LOC117891157	1.08400904679628	6.81013950233666	2.91940258192178	4.1341063587438	7.21442312732746	4.10497770424843	2.02787608123269	4.82954000292466	8.48299420010505	1.88524184741736	1.05185851034803	5.32384057284818
gene-LOC117893744	0	1.13502325038944	3.89253677589571	0	5.15315937666247	0.820995540849685	0	4.82954000292466	0	0.942620923708679	3.1555755310441	3.19430434370891
gene-LOC117892289	212.465773172072	301.916184603592	429.152179542502	261.275521872608	312.281458225746	395.719850689548	444.10486178996	281.079228170215	371.130996254596	206.433982292201	262.964627587008	392.899434276196
gene-LOC117892296	0	0	0	0	1.03063187533249	0	0	0	0	0	0	0
gene-LOC117892685	0	0	0	2.48046381524628	0	0.820995540849685	0	0	0	0	0	0
gene-LOC117892304	33.6042804506848	21.5654417573994	57.4149174444618	24.8046381524628	15.4594781299874	45.9757502875824	51.7108400714337	15.4545280093589	24.388608325302	28.2786277112604	19.9853116966126	62.8213187596085
gene-Trnag-ucc	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117902200	16.2601357019443	21.5654417573994	14.5970129096089	14.8827828914777	13.3982143793224	26.2718573071899	58.8084063557481	16.4204360099438	19.0867369502364	16.0245557030475	18.9334531862646	28.7487390933802
gene-LOC117892692	0	0	0	0	0	0	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903097	9.75608142116656	2.27004650077889	0	1.65364254349752	0	0	0	0	0	1.88524184741736	1.05185851034803	2.12953622913927
gene-LOC117895847	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117903383	69.3765789949622	60.1562322706405	34.0596967890875	52.0897401201719	52.5622256419572	43.5127636650333	110.519246427182	48.2954000292466	50.8979652006303	28.2786277112604	59.9559350898379	54.3031738430514
gene-LOC117903382	540.920514351346	641.288136470035	551.767087983217	586.216281669871	663.726927714126	578.801856299028	1280.60374529845	553.465284335166	604.413336757485	619.301946876602	415.484111587473	671.86868029344
gene-LOC117903384	0	0	0	0	1.03063187533249	0	1.01393804061635	0	0	0	0	1.06476811456964
gene-LOC117903386	0	1.13502325038944	0	0	0	0	2.02787608123269	4.82954000292466	0	0.942620923708679	1.05185851034803	0
gene-LOC117903385	220.053836499646	351.857207620727	245.22981688143	242.258632622387	384.42568949902	206.890876294121	172.369466904779	279.147412169045	199.350363702469	160.245557030475	207.216126538563	247.026202580156
gene-LOC117903381	2316.52733300366	2876.14891648685	2443.53996106853	2481.29063651803	2901.22872906097	2816.83570065527	4473.49463519932	2929.5989657741	3312.60923514102	2722.28922767066	2360.37049722099	3344.43664786323
gene-LOC117903387	13.0081085615554	15.8903255054522	10.7044761337132	10.7486765327339	18.5513737559849	10.6729420310459	22.3066368935596	13.522712008189	6.36224565007879	14.1393138556302	16.8297361655685	18.1010579476838
gene-LOC117896133	1634.6856425688	1503.90580676601	1442.18487546936	1710.69321124818	1482.04863672813	1652.66402373042	2882.62584947228	1570.5664089511	1493.00697921849	1712.74221837867	1291.68225070739	1539.65469366769
gene-LOC117892719	0	0	1.94626838794786	0	0	0	0	0	2.12074855002626	0.942620923708679	2.10371702069607	2.12953622913927
gene-LOC117892729	0	0	0	0	1.03063187533249	0	3.04181412184904	0	0	0.942620923708679	0	0
