C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C
gene-LOC117898434	17.8433102165266	22.138117386294	16.1347254256554	47.099527730034	29.9705855072392	42.4001755832144
gene-LOC117898574	644.589581572025	541.46145440644	672.563291427322	658.346732048697	723.734138915553	681.229487703645
gene-LOC117898502	2288.40453526954	1760.90275376813	2233.38567734073	2302.64357791277	2497.54879226993	2478.99693243194
gene-LOC117898518	388.091997209455	287.795526021822	320.99611636304	392.49606441695	329.676440579631	310.934620943572
gene-LOC117898421	10790.7418534445	10697.3228053688	11731.6437766016	5970.12680382475	6493.62685990182	7265.50564271481
gene-LOC117898541	3594.31180174159	3033.84450348004	3690.60614209992	3675.85647528621	3726.34279806674	4049.68788125901
gene-LOC117898528	5310.61520319374	4482.96877072453	5173.30248911016	4706.81280448806	5122.75007836699	4646.11701779623
gene-LOC117898596	15494.6845092763	12666.6928311912	14369.2467856587	16475.4147999659	14678.9267684345	14644.0784203182
gene-LOC117898426	5234.78113477351	5297.4670062286	4680.76876559015	3463.38527241516	3930.58678819014	3841.45590783923
gene-LOC117898487	10342.4286842543	9274.94876329941	11521.043149993	10797.3050680673	11160.1580255475	11073.0414100875
gene-LOC117898397	4903.56468887923	5382.32978954272	5549.49635035044	2629.20030350767	2513.08909586628	2993.45239617494
gene-LOC117898442	37278.0206629898	32778.2500550815	44033.3640787638	44452.5342716061	40025.1619340752	40475.2076117365
gene-LOC117898452	3244.13683874225	3604.82344773487	2511.07279387701	3586.89070068503	2819.45508105139	3292.13807750558
gene-LOC117898471	1087.32671631959	695.505854552736	809.283859507876	834.184968907491	868.036958024482	761.318708249717
gene-LOC117898505	2404.38605167697	2520.97811736423	2692.80075393439	2470.10856539734	2736.20345464239	2710.78455895351
gene-LOC117898572	1046.06406144387	989.758331478893	935.814074688016	1068.63595138588	865.816914653576	976.146264538003
gene-LOC117903746	2590.62560206196	3296.73464744228	2065.2448544839	2255.54405018274	2803.91477745504	2200.09799970679
gene-LOC117892013	15.6128964394608	3.689686231049	15.2855293506209	12.5598740613424	6.66013011271981	7.53780899257145
gene-LOC117890087	9143.58127908138	8133.91329634751	7111.16793233888	7928.42050122238	7815.6626872767	7573.61358528617
gene-LOC117903363	7593.44370402062	9466.81244731396	8815.50445493311	4117.54537977675	4457.84708878046	4142.02604141801
gene-LOC117903365	1067.252992326	950.094204495117	1301.81758302788	1353.32643010964	1441.91816940384	1521.69519037536
gene-LOC117890272	0	0	1.69839215006899	0	1.1100216854533	0
gene-LOC117903464	2087.66729533362	2180.60456254996	2631.65863653191	3741.79581410825	2781.71434374598	3027.37253664151
gene-LOC117903466	3735.94307658527	4296.63961605656	3409.52224126351	3334.64656328641	4496.69784777133	3854.64707357623
gene-LOC117903463	6992.34719110138	7188.43119964121	6804.60814925142	5126.52192937125	5395.8154129885	5402.72459542559
gene-LOC117903469	0	0.922421557762249	0	0	0	0
gene-LOC117903467	0	0	0	2.09331234355707	0	0
gene-LOC117903468	0	0	0	0	0	0
gene-LOC117903465	5.57603444266458	0.922421557762249	0.849196075034497	4.18662468711413	0	0.942226124071432
gene-LOC117894778	2.23041377706583	0.922421557762249	0	0	2.2200433709066	0
gene-LOC117897509	2762.36746289603	2378.00277591108	2466.91459797521	1747.91580687015	2041.32987954862	2359.33421467487
gene-LOC117900915	754.995063536784	741.626932440848	801.641094832565	727.42603938608	589.421514975704	687.825070572145
gene-LOC117901768	663.548098677085	903.973126607004	692.094801153115	766.152317741886	769.245028019139	749.069768636788
gene-LOC117892351	180.663515942332	222.303595420702	135.87137200552	95.2457116318465	150.962949221649	100.818195275643
gene-LOC117893052	347.94454922227	379.115260240284	401.669743491317	257.477418257519	291.935703274218	207.289747295715
gene-LOC117893057	2.23041377706583	3.689686231049	3.39678430013799	3.1399685153356	2.2200433709066	0
gene-LOC117893060	0	0	0	0	0	0
gene-LOC117894235	656.856857345887	704.730070130358	439.883566867869	548.447834011951	652.692751046542	687.825070572145
gene-LOC117894226	11053.9306791383	13355.7417348396	10802.6232705138	12990.0497479434	12471.0936360679	13118.6143254465
gene-LOC117903638	1857.93467629584	1593.94445181317	1976.92846268031	1765.70896179038	1811.55539065979	2079.49305582565
gene-LOC117903819	1890.27567606329	1932.47316351191	2251.21879491645	1802.34192780263	2364.34619001553	2376.29428490815
gene-LOC117903704	5038.50472239171	4984.76609814719	5575.82142867651	4901.49085243887	4234.73273000435	4882.61577493816
gene-LOC117892367	283.262549687361	150.354713915247	225.036959884142	250.150825055069	216.454228663394	229.903174273429
gene-LOC117903337	4774.20068980941	4816.88537463446	4827.67968657112	3088.68236291845	3861.76544369204	3944.15855536301
gene-LOC117894282	5.57603444266458	0	0	0	0	0
gene-LOC117892375	0	0	0	2.09331234355707	0	0
gene-LOC117889610	7374.86315386817	6050.16299736259	6865.75026665391	4360.36961162937	4067.1194555009	5116.28785370787
gene-LOC117889611	0	0	0	0	0	0
gene-LOC117889612	867.630959278608	456.598671092313	585.096095698768	519.141461202152	418.478175415895	566.27790056693
gene-LOC117897219	3012.17380592741	3052.29293463528	3076.63737984998	1384.726115263	1461.898559742	1566.92204433079
gene-LOC117896423	3009.94339215034	3266.29473603612	2779.41875358791	2462.78197219489	2335.48562619375	2184.08015559758
gene-LOC117901738	176.202688388201	266.57983019329	286.179077286625	233.404326306613	260.855096081526	181.849641945786
gene-LOC117895356	402.589686760383	396.641269837767	326.091292813247	406.102594650071	361.867069457777	363.699283891573
gene-LOC117895424	9574.05113805508	10064.5416167439	9779.34200009727	8258.11719533262	8274.10164336892	7694.21852916731
gene-LOC117893958	2289.51974215808	1854.06733110212	2363.31267682101	2410.44916360596	2277.76449855018	2312.22290847129
gene-LOC117893965	504.073513616878	480.581631594132	549.42986054732	813.25184547192	773.685114760952	672.749452587002
gene-LOC117893974	82.5253097514358	72.8713030632177	80.6736271282772	45.0062153864769	122.102385399863	119.662717757072
gene-LOC117893951	724.884477546395	668.755629377631	782.109585106772	816.391813987256	803.655700268191	860.252451277217
gene-LOC117899032	808.524994186364	773.911686962527	912.03658458705	698.119666576281	683.773358239234	808.430014453288
gene-Trnag-gcc	3.34562066559875	7.37937246209799	3.39678430013799	7.32659320244973	1.1100216854533	1.88445224814286
gene-LOC117892385	0	0.922421557762249	0	0	0	0
gene-LOC117902577	101.483826856495	129.139018086715	107.847901529381	140.251927018323	116.552276972597	125.3160745015
gene-LOC117895077	0	0	0	0	0	0
gene-LOC117892404	0	0	0	0	0	0
gene-LOC117892429	0	0	0	0	0	0
gene-LOC117892439	0	0	0	0	0	0
gene-LOC117891248	2.23041377706583	2.76726467328675	2.54758822510349	5.23328085889266	3.33006505635991	9.42226124071432
gene-LOC117892461	2.23041377706583	0	0	0	0	0
gene-LOC117901524	5384.21885783692	4506.95173122635	5050.16905823015	4070.44585204671	4665.42114396023	5322.63537487952
gene-LOC117892471	65.797206423442	27.6726467328675	33.9678430013799	25.1197481226848	45.5108891035854	3.76890449628573
gene-LOC117900768	592.174857810978	415.089700993012	440.732762942904	356.90975457648	379.627416425029	395.734972110001
gene-LOC117900589	7006.84488065231	7221.63837572065	6898.86891358025	4090.33231931051	4686.51155598384	4457.67179298194
gene-LOC117900729	0	0	0	0	0	0
gene-LOC117900761	5.57603444266458	6.45695090433574	4.24598037517249	2.09331234355707	2.2200433709066	0.942226124071432
gene-LOC117900739	0	0	0	0	0	0
gene-LOC117900717	1.11520688853292	1.8448431155245	1.69839215006899	0	1.1100216854533	0
gene-LOC117900753	1.11520688853292	0	0	1.04665617177853	1.1100216854533	0
gene-LOC117892481	0	1.8448431155245	0	0	2.2200433709066	1.88445224814286
gene-LOC117903160	0	0	0	0	0	0
gene-LOC117890984	16.7281033279937	36.89686231049	18.6823136507589	7.32659320244973	26.6405204508793	8.48003511664288
gene-LOC117896741	7.80644821973041	7.37937246209799	6.79356860027598	5.23328085889266	2.2200433709066	7.53780899257145
gene-LOC117896721	3.34562066559875	6.45695090433574	8.49196075034497	2.09331234355707	1.1100216854533	0.942226124071432
gene-LOC117896749	14.4976895509279	6.45695090433574	10.190352900414	7.32659320244973	13.3202602254396	16.0178441092143
gene-LOC117896730	1859.04988318437	1520.15072719219	2151.86285413742	2003.29991278411	2217.8233275357	2351.79640568229
gene-LOC117889638	4202.09955599203	3802.22166109599	4101.61704241662	3058.32933393687	3145.80145657466	3783.98011427087
gene-LOC117889639	65274.1743927201	101137.989279284	75824.7175398302	81150.392966505	105163.454479846	77417.0672582051
gene-LOC117890361	1.11520688853292	0	0	0	0	0
gene-LOC117902120	657.97206423442	619.867286816231	977.424682364706	672.999918453596	569.441124637544	651.078251733359
gene-LOC117891813	1.11520688853292	0	1.69839215006899	3.1399685153356	1.1100216854533	4.71113062035716
gene-LOC117891157	2.23041377706583	1.8448431155245	0	1.04665617177853	6.66013011271981	2.8266783722143
gene-LOC117893744	2.23041377706583	3.689686231049	0	0	1.1100216854533	3.76890449628573
gene-LOC117892289	270.995273913499	470.434994458747	253.06043036028	205.144609668592	295.265768330578	415.521720715501
gene-LOC117892296	0	0	0	0	0	0
gene-LOC117892685	0	1.8448431155245	0	0	0	0
gene-LOC117892304	32.3409997674546	17.5260095974827	27.1742744011039	32.4463413251345	21.0904120236127	55.5913413202145
gene-Trnag-ucc	0	0	0	0	0	0
gene-LOC117902200	20.0737239935925	28.5950682906297	21.2299018758624	15.699842576678	21.0904120236127	14.1333918610715
gene-LOC117892692	0	0	0	0	0	0
gene-Trnag-ucc-2	0	0	0	0	0	0
gene-LOC117903097	0	0	0.849196075034497	9.41990554600679	2.2200433709066	0
gene-LOC117895847	0	0	0	0	0	0
gene-LOC117903383	66.9124133119749	59.9574012545462	61.1421174024838	66.9859949938261	58.831149329025	32.9779143425001
gene-LOC117903382	794.027304635436	962.085684746026	659.825350301804	522.281429717488	627.162252281116	534.242212348502
gene-LOC117903384	0	0	0	0	0	0
gene-LOC117903386	2.23041377706583	3.689686231049	0	0	1.1100216854533	0
gene-LOC117903385	197.391619270326	251.821085269094	185.973940432555	212.471202871042	344.106722490524	237.440983266001
gene-LOC117903381	2629.65784316062	3293.04496121123	2298.77377511838	2236.70423909072	2812.79495093867	2365.92979754337
gene-LOC117903387	15.6128964394608	11.069058693147	11.0395489754485	12.5598740613424	15.5403035963462	10.3644873647857
gene-LOC117896133	2214.80088062637	2280.22609078828	2466.06540190018	1578.35750704203	1470.77873322563	1396.37911587386
gene-LOC117892719	0	0.922421557762249	0	0	0	1.88445224814286
gene-LOC117892729	1.11520688853292	0	0	0	0	0
gene-LOC117896254	10.0368619967962	8.30179401986024	15.2855293506209	11.5132178895639	7.77015179817312	7.53780899257145
gene-LOC117896346	572.101133817386	509.176699884761	586.794487848837	427.035718085641	591.64155834661	513.51323761893
gene-LOC117896247	981.382061908966	808.963706157492	887.409898411049	491.92840073591	579.431319806624	611.504754522359
gene-LOC117896269	4455.251519689	2640.89291987332	3409.52224126351	4536.20784848816	2121.25144090126	5325.46205325173
gene-LOC117896229	864.28533861301	714.876707265743	944.306035438361	898.030995385981	966.828888029826	1158.93813260786
gene-LOC117896259	2897.30749640851	2823.53238831024	2406.62167664776	2515.11478078381	2418.73725260275	2446.96124421351
gene-LOC117896250	681.391408893611	715.799128823505	720.118271629254	648.92682650269	881.357218249922	811.256692825503
gene-LOC117896349	8.92165510826332	23.9829605018185	4.24598037517249	6.2799370306712	9.99019516907972	6.59558286850002
gene-LOC117896235	1394.00861066614	1170.55295680029	1552.33042516306	1652.6700952383	1560.69048974734	1955.11920744822
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	202.967653712991	286.873104464059	194.4659011829	191.538079435471	240.874705743367	183.734094193929
gene-LOC117896163	1484.34036863731	1656.669117741	1802.84326729824	1068.63595138588	1206.59357208774	958.243968180646
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	46.8386893183825	37.8192838682522	40.7614116016559	36.6329660122486	38.8507589908656	22.6134269777144
gene-LOC117896199	1135.28061252651	1002.67223328756	1095.4629367945	878.144528122189	813.645895437271	894.172591743789
gene-LOC117896273	5925.09419877538	4750.47102247558	5081.58931300643	4803.10517229169	4666.53116564568	4618.79246019816
gene-LOC117896187	32049.9307695475	32643.5765076482	35112.5593105264	20622.2665525524	22457.9587400912	22280.8211559171
gene-LOC117896179	3045.63001258339	2991.41311182297	2981.52741944612	2277.52382979009	2002.47912055776	2176.54234660501
gene-LOC117896121	8999.71959046063	9999.04968614278	8257.58263363545	6616.96031798388	7557.02763456608	6435.40442740788
gene-LOC117896368	0	0	0	0	0	0
gene-LOC117896337	2.23041377706583	6.45695090433574	0	0	3.33006505635991	0
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	72.4884477546395	57.1901365812594	85.7688035784842	57.5660894478193	64.3812577562915	54.649115196143
gene-LOC117896170	0	0	1.69839215006899	1.04665617177853	0	0
gene-LOC117903771	4.46082755413166	4.61210778881125	4.24598037517249	8.37324937422826	5.55010842726651	0
gene-LOC117903770	3769.39928324126	3646.33241783417	4279.09902209883	3988.80667064799	4053.79919527546	4685.69051500723
gene-LOC117903767	3095.81432256737	2873.34315242941	3549.6395936442	2679.43979975304	2628.53135115342	2903.94091438815
gene-LOC117903769	4966.01627463707	4946.94681427894	4362.32023745221	3234.16757079567	4066.00943381545	4156.15943327908
gene-LOC117892081	8292.67842313076	9258.34517525969	9181.50796327298	4651.3400273838	4435.6466550714	4634.81030430737
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	0	15.6811664819582	3.39678430013799	2.09331234355707	3.33006505635991	1.88445224814286
gene-LOC117892142	2411.07729300816	2485.92609816926	2829.52132201494	2137.27190277176	2230.03356607568	2611.85081592601
gene-LOC117892062	9364.39224301089	9512.93352520207	10773.7506039627	5920.93396375116	5572.30886097558	6166.86998204752
gene-LOC117892133	4613.61089786067	3772.7041712476	4993.27292120284	3284.40706704104	4098.20006269359	4367.21808507109
gene-LOC117903522	3512.90169887868	4268.96696932369	3724.5739851013	5107.68211827924	3700.81229930131	4287.12886452501
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	13359.0633177358	13106.6879142438	12665.7594591395	15214.1941129728	12135.867087061	14146.5830268085
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	4.46082755413166	0	14.4363332755864	7.32659320244973	1.1100216854533	0
gene-LOC117892802	1.11520688853292	3.689686231049	0	9.41990554600679	4.44008674181321	4.71113062035716
gene-LOC117903525	71.3732408661066	98.6991066805606	70.4832742278632	72.2192758527188	99.9019516907972	71.6091854294288
gene-LOC117903519	5921.74857810978	5606.47822807895	5469.6719192972	7032.48281817996	5622.25983682098	6497.59135159659
gene-LOC117903518	824.137890625825	591.272218525602	839.854918209118	646.833514159133	791.445461728205	951.648385312146
gene-LOC117901432	50490.9918783278	39404.0041044878	45913.4841888902	54344.481751085	52330.8623390105	48273.0710145517
gene-LOC117903149	498.497479174213	561.75472867721	726.062644154495	758.825724539436	868.036958024482	878.154747634574
gene-LOC117903154	1969.45536514913	2025.6377408459	1574.40952311396	1442.29220471082	1754.94428470167	1534.88635611236
gene-LOC117903153	4.46082755413166	8.30179401986024	4.24598037517249	4.18662468711413	4.44008674181321	2.8266783722143
gene-LOC117892819	4078.31159136487	3675.84990768256	3851.10420028144	4176.15812539634	4396.79589608053	4564.14334500201
gene-LOC117903150	964.653958580972	1278.47627905848	1014.78930966622	884.42446515286	1003.45960364979	831.043441431003
gene-LOC117903152	74.7188615317054	95.9318420072739	74.7292546030357	42.9129030429198	87.6917131508109	67.8402809331431
gene-LOC117892835	0	0	0.849196075034497	0	0	0
gene-LOC117892851	0	0	0	0	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	0	0	0	0
gene-LOC117893086	2.23041377706583	12.9139018086715	1.69839215006899	6.2799370306712	1.1100216854533	6.59558286850002
gene-LOC117903095	0	0	0	1.04665617177853	0	0
gene-LOC117897365	0	0	0	0	0	0
gene-LOC117892447	0	0	2.54758822510349	3.1399685153356	1.1100216854533	0
gene-LOC117889658	89.2165510826333	99.6215282383229	84.0704114284152	92.1057431165109	99.9019516907972	99.8759691515718
gene-LOC117889739	3104.73597767564	3070.74136579053	3074.08979162488	2922.26403160566	3183.54219388007	3506.0234076698
gene-LOC117893126	0	0	0	0	0	0
gene-LOC117889699	0	0	0	0	0	0
gene-LOC117893141	0	0	0	0	0	0
gene-LOC117889729	1.11520688853292	1.8448431155245	0	2.09331234355707	0	0.942226124071432
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0	0	0
gene-LOC117889644	3.34562066559875	6.45695090433574	2.54758822510349	0	1.1100216854533	1.88445224814286
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	52.414723761047	115.302694720281	97.6575486289672	68.0326511656046	69.931366183558	90.4537079108574
gene-LOC117889675	4.46082755413166	0.922421557762249	0	0	0	0.942226124071432
gene-LOC117891408	186.239550384997	274.88162421315	152.855293506209	409.242563165406	216.454228663394	337.316952417573
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	1.11520688853292	7.37937246209799	4.24598037517249	0	12.2102385399863	0
gene-LOC117893198	0	0	0	0	2.2200433709066	0
gene-LOC117897981	0	0	0	2.09331234355707	0	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0	0
gene-LOC117894638	0	0.922421557762249	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	138.285654178082	156.811664819582	152.006097431175	125.598740613424	213.124163607034	141.333918610715
gene-LOC117898339	4980.513964188	5383.25221110049	4894.76617649884	4718.32602237763	4692.06166441111	4842.10005160309
gene-LOC117894747	0	0	0	3.1399685153356	1.1100216854533	0
gene-LOC117893217	0	1.8448431155245	0	1.04665617177853	0	0.942226124071432
gene-LOC117893239	0	2.76726467328675	0	0	0	0
gene-LOC117903334	1.11520688853292	0	0	1.04665617177853	0	2.8266783722143
gene-LOC117893254	0	0	0	0	0	0
gene-LOC117903338	337.907687225473	467.66772978546	310.805763462626	520.188117373931	330.786462265084	293.974550710287
gene-LOC117903333	3166.07235654495	2473.01219636059	3322.90424160999	2952.61706058724	2817.23503768048	2990.62571780272
gene-LOC117893463	1454.22978264692	1686.18660758939	1993.912384181	2138.31855894354	2041.32987954862	2237.78704466965
gene-LOC117903336	2222.6073288461	1940.77495753177	2649.49175410763	2963.08362230503	2736.20345464239	2914.30540175294
gene-LOC117903339	269.880067024966	214.924222958604	218.243391283866	237.590950993727	241.98472742882	364.641510015644
gene-LOC117903335	7098.29184551201	5966.22263560623	7792.22318451655	7889.69422286658	8538.2868045068	9469.37254691789
gene-LOC117903340	2638.57949826888	2325.42474711863	2826.97373378984	3195.44129243986	3332.28509973081	3076.36829509322
gene-LOC117903341	1118.55250919851	1141.95788850966	1327.29346527892	1063.40267052699	1228.79400579681	1459.50826618665
gene-LOC117903342	516.34078939074	401.253377626578	541.787095872009	431.222342772755	382.957481481389	322.24133443243
gene-LOC117903364	666.893719342684	575.591052043643	592.738860374079	796.505346723463	761.474876220965	952.590611436217
gene-LOC117903397	2438.95746522149	2553.26287188591	1982.02363913052	2143.55183980244	2356.57603821736	2527.05046475958
gene-LOC117903388	1163.16078473983	1361.49421925708	1487.79152346044	1930.03398075961	1832.6458026834	1782.69182674315
gene-LOC117903372	1641.58453992045	1466.65027684198	1714.52687549465	1799.2019592873	1565.13057648916	1837.34094193929
gene-LOC117896339	1726.34026344895	1006.36191951861	1620.26611116582	1775.12886733639	1799.3451521198	2573.21954483908
gene-LOC117897140	217.465343263919	199.243056476646	201.259469783176	208.284578183928	249.754879226993	211.058651792001
gene-LOC117899488	95.9077924138307	84.8627833141269	100.205136854071	103.618961006075	122.102385399863	114.951587136715
gene-LOC117895602	1038.25761322414	737.014824652037	991.011819565258	862.444685545511	781.455266559125	1495.31285890136
gene-LOC117897945	0	0	0	0	0	0.942226124071432
gene-LOC117898690	782.875235750107	663.221100031057	811.831447732979	856.16474851484	1038.98029758429	921.49714934186
gene-LOC117894847	1447.53854131572	1237.88973051694	1278.88928900195	1161.78835067417	1376.42688996209	1267.29413687608
gene-LOC117889603	980.266855020433	1030.34488002043	810.13305558291	1005.83658107917	940.188367578947	830.101215306931
gene-LOC117889607	2707.72232535792	2041.31890732786	2863.48916501632	2833.29825700449	3407.76657434164	3416.51192588301
gene-LOC117889606	71.3732408661066	79.3282539675534	45.0073919768283	78.4992128833899	63.2712360708382	50.8802106998573
gene-LOC117889605	1599.2066781562	1486.02112955498	1719.62205194486	1257.03406230602	1534.04996929646	1408.62805548679
gene-LOC117889604	59.1059650922445	76.5609892942667	54.3485488022078	35.5863098404701	57.7211276435717	65.9558286850002
gene-LOC117893496	0	0	0	0	0	0.942226124071432
gene-LOC117893603	3855.27021365829	3782.85080838298	4295.23374752449	4250.47071359262	4090.42991089542	4248.49759343809
gene-LOC117893272	655.741650457354	1042.33636027134	594.437252524148	625.900390723563	647.142642619275	591.718005916859
gene-LOC117895280	1395.12381755468	1794.10992984757	1657.63073846734	899.07765155776	1026.7700590443	827.274536934717
gene-LOC117892189	888.819890160734	827.412137312737	693.793193303184	526.468054404602	556.120864412104	586.06464917243
gene-LOC117892630	156.128964394608	271.191937982101	177.48197968221	222.937764588827	227.554445517927	146.987275355143
gene-LOC117893532	128.248792181285	140.208076779862	153.704489581244	165.371675141008	82.1416047235444	126.258300625572
gene-LOC117893539	5.57603444266458	0.922421557762249	23.7774901009659	3.1399685153356	21.0904120236127	3.76890449628573
gene-LOC117892728	0	0.922421557762249	1.69839215006899	2.09331234355707	4.44008674181321	1.88445224814286
gene-LOC117892499	15.6128964394608	3.689686231049	5.94437252524148	8.37324937422826	11.100216854533	7.53780899257145
gene-LOC117892672	4.46082755413166	1.8448431155245	5.94437252524148	7.32659320244973	9.99019516907972	5.65335674442859
gene-LOC117892418	79.179689085837	82.0955186408402	65.3880977776563	95.2457116318465	45.5108891035854	67.8402809331431
gene-LOC117892274	473.962927626489	515.633650789097	401.669743491317	542.16789698128	521.710192163052	598.313588785359
gene-LOC117892343	43.4930686527837	115.302694720281	96.8083525539327	136.065302331209	103.232016747157	57.4757935683573
gene-LOC117892656	53.52993064958	34.1295976372032	39.9122155266214	58.6127456195978	38.8507589908656	16.0178441092143
gene-LOC117894262	3624.42238773198	3472.91716497487	3850.25500420641	3328.36662625573	2770.61412689144	2938.8032809788
gene-LOC117902570	5.57603444266458	11.069058693147	8.49196075034497	10.4665617177853	14.4302819108929	14.1333918610715
gene-LOC117903362	4047.08579848595	4547.53827976789	5106.21599918243	5119.1953361688	5103.87970971428	5109.69227083937
gene-LOC117903359	3628.88321528611	3204.49249166605	3958.10290573579	4212.79109140859	4193.66192764258	4318.22232661937
