C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	W_NL1_G23_W	W_NL2_G23_W	W_NL3_G23_W
gene-LOC117896259	3198.67192793058	3099.03424234379	2771.09069321315	3084.33514947837	2996.34118938351	2872.42439927942
gene-LOC117896250	767.055095278622	843.374775147513	638.837990498874	864.992315663767	749.085297345877	768.721507736672
gene-LOC117896349	12.5233484943449	10.515894951964	10.4727539426045	28.4310223275939	19.4929259532384	20.0352656337404
gene-LOC117896235	1441.22868922419	1496.41185166448	1328.99247531651	1593.86034260754	1718.16218759259	1555.36930577722
gene-LOC117896220	0	0	0	0	0	0
gene-LOC117896321	0	0	0	0	0	0
gene-LOC117896241	0	0	0	0	0	0
gene-LOC117896328	284.906178246345	221.88538348644	267.055225536415	305.84887655442	216.278654624026	338.49054044372
gene-LOC117896163	1632.20975376295	1761.41240445397	1483.98923366706	1096.74822494021	1189.99671771675	1479.44619390199
gene-LOC117896204	0	0	0	0	0	0
gene-LOC117896351	46.9625568537932	46.2699377886416	31.4182618278135	30.1541145898723	31.5599753528622	33.7436052778786
gene-LOC117896199	1338.95467652037	1224.05017240861	1012.71530624985	869.300046319463	834.482877712445	899.477978188452
gene-LOC117896273	5135.61649505592	5640.72605223349	4697.03014325811	4369.76197713807	4527.92822856652	4334.99879054247
gene-LOC117896187	33779.6453387462	36190.4524771841	30651.6562392148	21432.6831043501	22928.3220938544	26003.6658172652
gene-LOC117896179	3395.91466671651	3909.80974314021	3075.84783294294	2134.91131296296	2172.99712650148	2563.45951345384
gene-LOC117896121	8487.69944204222	9912.28258172126	9336.4601398319	6182.45503705497	6532.91489804248	7341.34312326847
gene-LOC117896368	0	0	0	1.72309226227842	0	0
gene-LOC117896337	0	2.1031789903928	2.0945507885209	3.44618452455684	0.92823456920183	7.38141365453595
gene-LOC117892736	0	0	0	0	0	0
gene-LOC117896357	0	0	0	0	0	0
gene-LOC117896212	100.186787954759	77.8176226445336	52.3637697130225	76.6776056713897	61.2634815673208	65.3782352258898
gene-LOC117896170	0	0	1.04727539426045	0	0	0
gene-LOC117903771	1.04361237452874	3.1547684855892	9.42547854834404	3.44618452455684	4.64117284600915	6.32692598960224
gene-LOC117903770	4700.43013487743	3876.15887929393	4312.68007356453	4776.41175103578	5249.16648883635	5097.39337228954
gene-LOC117903767	3268.59395702401	3712.11091804329	3054.90232505773	2365.80567610827	2672.38732473207	2892.45966491316
gene-LOC117903769	5704.38523917408	5434.61451117499	5325.39537981438	4501.57853520237	3880.02049926365	4269.62055531658
gene-LOC117892081	8714.16332731496	11978.6559397822	9139.57236571094	3677.07888770215	4564.1293767654	5720.59558226536
gene-LOC117892148	0	0	0	0	0	0
gene-LOC117892154	2.08722474905748	4.2063579807856	7.33092775982314	2.58463839341763	14.8517531072293	5.27243832466853
gene-LOC117892142	2646.60098180488	3127.42715871409	2771.09069321315	1988.4484706693	2335.4381761118	2260.82155361787
gene-LOC117892062	10275.40743961	12422.4267067551	9797.2613133065	4935.79778529653	5472.87102001399	6546.25942390845
gene-LOC117892133	4521.97241883302	4831.00214093226	4317.91645053583	3758.92577016037	3953.35103023059	4175.77115313748
gene-LOC117903522	3983.46843357619	3783.61900371665	4152.44693824268	4346.50023159731	4091.65798104167	4544.84183586428
gene-LOC117903520	0	0	0	0	0	0
gene-LOC117903516	0	0	0	0	0	0
gene-LOC117903523	0	0	0	0	0	0
gene-LOC117903521	0	0	0	0	0	0
gene-LOC117903524	14195.2155183399	12912.4674115166	16301.8887870582	16368.5149455139	16225.540269648	16573.3826297631
gene-LOC117903517	0	0	0	0	0	0
gene-LOC117903526	1.04361237452874	2.1031789903928	13.6145801253858	2.58463839341763	0.92823456920183	7.38141365453595
gene-LOC117892802	2.08722474905748	6.3095369711784	1.04727539426045	6.03082291797447	4.64117284600915	1.05448766493371
gene-LOC117903525	92.8815013330577	119.88120245239	108.916641003087	70.6467827534152	90.9669877817793	85.4135008596302
gene-LOC117903519	6013.29450203459	6146.54059942296	6246.99772676358	6652.85922465698	7522.41294881163	6424.99334244107
gene-LOC117903518	785.840118020139	665.656150459321	685.965383240594	722.837204025797	613.563050242409	778.211896721076
gene-LOC117901432	48230.5458888456	40302.167403402	46918.9849382624	56001.3600701798	58180.8145630015	51402.0557148585
gene-LOC117903149	638.690773211587	573.116274882038	517.354044764662	658.221244190356	709.171210870198	705.45224784065
gene-LOC117903154	1892.0692350206	1801.37280527143	1783.50999642554	1360.38134106881	1259.61431040688	1328.65445781647
gene-LOC117903153	5.21806187264369	5.257947475982	12.5673047311254	3.44618452455684	1.85646913840366	5.27243832466853
gene-LOC117892819	4186.9728466093	3797.2896671542	4122.07595180913	4542.07120336591	4223.46728986832	4459.42833500465
gene-LOC117903150	1309.73353003357	1521.64999954919	1430.57818855977	952.008474908827	934.732211186242	1112.48448650506
gene-LOC117903152	101.230400329288	132.500276394746	92.1602346949195	78.4006979336681	51.9811358753025	52.7243832466853
gene-LOC117892835	0	0	0	0.86154613113921	0	0
gene-LOC117892851	0	0	0	0	0	0
gene-LOC117893038	0	0	0	0	0	0
gene-LOC117893078	0	0	2.0945507885209	0	0	0
gene-LOC117893086	1.04361237452874	5.257947475982	1.04727539426045	5.16927678683526	0.92823456920183	6.32692598960224
gene-LOC117903095	0	0	0	0	0	0
gene-LOC117897365	0	0	0	0.86154613113921	0	0
gene-LOC117892447	2.08722474905748	0	1.04727539426045	0	0	0
gene-LOC117889658	115.84097357269	155.635245289067	125.673047311254	149.047480687083	165.225753317926	120.211593802443
gene-LOC117889739	3024.38866138428	2804.5891836888	3695.83486634512	4132.83679107479	3155.99753528622	3707.57862990691
gene-LOC117893126	0	0	0	0	0	0
gene-LOC117889699	0	0	0	0	0	0
gene-LOC117893141	0	0	0	0	0	0
gene-LOC117889729	1.04361237452874	2.1031789903928	2.0945507885209	3.44618452455684	0	0
gene-LOC117893150	0	0	0	0	0	0
gene-LOC117889708	0	0	0	0.86154613113921	0.92823456920183	0
gene-LOC117889644	0	1.0515894951964	1.04727539426045	0	0	0
gene-LOC117889719	0	0	0	0	0	0
gene-LOC117889743	89.7506642094714	105.15894951964	111.011191791608	95.6316205564523	83.5411112281647	69.5961858856246
gene-LOC117889675	1.04361237452874	1.0515894951964	0	0	0	0
gene-LOC117891408	262.990318381242	296.548237645385	411.579229944356	329.972168226317	458.547877185704	375.3976087164
gene-LOC117893162	0	0	0	0	0	0
gene-LOC117893172	1.04361237452874	8.4127159615712	1.04727539426045	0.86154613113921	6.49764198441281	0
gene-LOC117893198	0	0	0	0	0	0
gene-LOC117897981	0	0	0	0	0	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0	0
gene-LOC117894638	0	0	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	242.118070890667	204.008362068102	227.258760554517	255.879200948345	210.709247208815	179.26290303873
gene-LOC117898339	4753.6543659784	4702.7082225183	4643.61909815083	4556.71748759528	4359.91777154099	4728.32268956274
gene-LOC117894747	0	2.1031789903928	1.04727539426045	0	0	0
gene-LOC117893217	0	0	2.0945507885209	0.86154613113921	1.85646913840366	2.10897532986741
gene-LOC117893239	0	6.3095369711784	3.14182618278135	2.58463839341763	1.85646913840366	0
gene-LOC117903334	0	5.257947475982	0	4.30773065569605	1.85646913840366	0
gene-LOC117893254	0	0	0	0	0	0
gene-LOC117903338	288.037015369932	424.842156059345	438.808390195128	413.542142946821	458.547877185704	436.557893282555
gene-LOC117903333	2982.64416640313	3105.34377931497	3014.05858468157	2555.3458249589	2837.61307804999	2885.07825125862
gene-LOC117893463	1918.15954438382	2053.75428411857	1697.63341409619	1869.55510457209	2136.79597830261	2067.850310935
gene-LOC117903336	2220.80713299715	2448.10034481722	2514.50822161934	2515.71470292649	2914.65654729375	2785.95641075485
gene-LOC117903339	409.096050815265	276.568037236653	179.084092418537	334.279898882013	385.217346218759	233.041773950349
gene-LOC117903335	7232.23375548415	6940.49066829624	5853.22217852165	7460.12794953442	7876.07031967752	7338.17966027366
gene-LOC117903340	2666.42961692092	2652.10870688532	2437.00984244406	3046.42711970825	3117.93991794895	3041.14242566881
gene-LOC117903341	1321.21326615338	1394.40767063043	1079.74093148252	1205.30303746375	1325.51896482021	1331.81792081127
gene-LOC117903342	481.105304657748	535.259053054967	545.630480409694	316.18743012809	270.116259637732	371.179658056665
gene-LOC117903364	771.229544776737	700.358603800802	916.365969977893	1157.05645411996	822.415828312821	853.080520931369
gene-LOC117903397	2300.12167346134	2073.7344845273	2560.5883389668	3350.55290400039	2970.35062144585	2927.25775785597
gene-LOC117903388	1489.23485845251	1473.27688277016	1525.88024943747	1620.56827267285	1925.15849652459	1669.25397359006
gene-LOC117903372	1585.24719690915	1513.23728358762	1487.13105984984	1742.04627716348	1678.24810111691	1616.52959034337
gene-LOC117896339	1858.67363903568	1255.5978572645	1379.26169424101	1882.47829653917	1396.06479207955	1360.28908776448
gene-LOC117897140	226.463885272736	192.440877620941	176.989541630016	252.433016423789	287.752716452567	259.403965573692
gene-LOC117899488	94.9687260821151	156.686834784264	41.891015770418	62.8928675731623	52.9093704445043	62.2147722310887
gene-LOC117895602	919.422501959818	680.378403392071	744.612805319179	1141.54862375945	1094.38855708896	893.15105219885
gene-LOC117897945	0	0	0	0	0	0
gene-LOC117898690	614.687688597426	705.616551276784	718.430920462668	737.483488255164	818.702890036014	842.535644282032
gene-LOC117894847	1257.55291130713	1278.73282615882	1267.20322705514	1401.73555536349	1476.82119960011	1513.18979917987
gene-LOC117889603	989.344531053243	910.676502840082	729.950949799533	943.393013597435	777.860568991133	855.189496261236
gene-LOC117889607	2846.9745577144	2876.09726936215	2308.19496895003	3248.89046052596	3359.28090594142	2897.73210323783
gene-LOC117889606	88.7070518349427	102.004181034051	131.956699676817	77.5391518025289	58.4787778597153	59.0513092362876
gene-LOC117889605	1774.14103669885	1754.05127798759	1847.39379547543	1485.305530084	1246.61902643806	1840.08097530932
gene-LOC117889604	82.4453775877703	92.5398755772832	109.963916397347	88.7392515073386	55.6940741521098	86.4679885245639
gene-LOC117893496	0	3.1547684855892	0	0	0	0
gene-LOC117893603	4240.19707771026	4315.72328828602	4024.67934014291	4203.48357382821	4059.1697711196	4443.61102003064
gene-LOC117893272	858.892984237151	928.553524258421	861.90764947635	818.468824582249	582.931309458749	805.628576009352
gene-LOC117895280	1873.28421227908	2255.65946719628	1877.76478190899	946.839198121992	1006.20627301478	1333.92689614114
gene-LOC117892189	1139.62471298538	1209.32791947586	767.652863992909	497.973663798463	555.084272382694	474.519449220168
gene-LOC117892630	234.812784268966	175.615445697799	259.724297776591	229.17127088303	206.068074362806	171.881489384194
gene-LOC117893532	183.675777917058	169.30590872662	123.578496522733	173.170772358981	161.512815041118	127.593007456979
gene-LOC117893539	8.3488989962299	5.257947475982	28.2764356450321	10.3385535736705	0	25.307703958409
gene-LOC117892728	2.08722474905748	3.1547684855892	0	0.86154613113921	0.92823456920183	0
gene-LOC117892499	4.17444949811495	5.257947475982	2.0945507885209	5.16927678683526	2.78470370760549	7.38141365453595
gene-LOC117892672	8.3488989962299	3.1547684855892	4.1891015770418	5.16927678683526	6.49764198441281	4.21795065973483
gene-LOC117892418	93.9251137075864	48.3731167790344	69.1201760211896	88.7392515073386	64.9764198441281	93.8494021790999
gene-LOC117892274	543.722047129472	572.064685386841	631.507062739051	843.453662385287	679.467704655739	645.346450939428
gene-LOC117892343	61.5731300971955	85.1787491109084	98.4438870604822	114.585635441515	122.526963134642	108.612229488172
gene-LOC117892656	73.0528662170116	29.4445058654992	74.3565529924919	71.5083288845544	60.3352469981189	87.5224761894977
gene-LOC117894262	3437.65916169766	4747.92657081174	3801.60968116543	2281.37415525663	2713.22964577695	3082.26744460122
gene-LOC117902570	12.5233484943449	13.6706634375532	9.42547854834404	15.5078303605058	10.2105802612201	9.49038898440336
gene-LOC117903362	4140.0102897555	4394.59250042575	5004.92910917069	4948.72097726362	5924.92125521528	5727.97699591989
gene-LOC117903359	3917.72085398088	3562.7852097254	3773.3332455204	4592.90242510313	4552.99056193497	4221.11412272963
gene-LOC117903358	913.160827712646	1007.42273639815	1128.96287501276	1120.87151661211	1206.70493996238	974.346602398745
