C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W	W_PT1_G23_W	W_PT2_G23_W	W_PT3_G23_W
gene-LOC117893172	0	12.4673497811334	4.13047950611498	0	18.6043326260235	0
gene-LOC117893198	0	0	0	0	0	0
gene-LOC117897981	0	0	0	0	0.930216631301174	0
gene-LOC117896890	0	0	0	0	0	0
gene-LOC117895175	0	0	0	0	0	0
gene-LOC117896757	0	0	0	0	0.930216631301174	0
gene-LOC117894638	0	0	0	0	0	0
gene-LOC117894973	0	0	0	0	0	0
gene-LOC117898618	202.975375396596	196.360759052852	267.448548020945	320.607898089565	257.670006870425	264.907168299813
gene-LOC117898339	4287.28077987019	3906.43626475514	4221.35005524951	5171.09513047685	3537.61384883837	4542.43919596268
gene-LOC117894747	8.26596551388854	0	0	0	0	0
gene-LOC117893217	1.83688122530856	0	4.13047950611498	4.13687610438148	0	0
gene-LOC117893239	0.918440612654282	0	0	0	0.930216631301174	0
gene-LOC117903334	0	0	4.13047950611498	1.03421902609537	0.930216631301174	0
gene-LOC117893254	0	2.07789163018891	0	0	0	0
gene-LOC117903338	328.801739330233	407.266759517026	409.950090981912	454.022152455868	502.316980902634	387.093032748176
gene-LOC117903333	2593.67629013569	2546.4561927965	2190.18675811747	2320.78749455801	2400.88912538833	2096.66836305511
gene-LOC117893463	1958.11538617893	2064.38533459268	1702.7901763959	1275.19205917559	1713.45903485676	1861.53758188977
gene-LOC117903336	2951.86812907086	3117.87639109845	2476.22246391593	1903.99722704158	2844.60245851899	2712.73154514769
gene-LOC117903339	236.957678064805	315.839527788714	300.492384069865	201.672710088597	279.064989390352	377.852085016787
gene-LOC117903335	7606.52515400276	8041.44060883107	6611.86506941356	4190.65549373844	6705.00147841886	6848.56904092927
gene-LOC117903340	3165.86479181931	3338.13290389848	2864.48753749074	2034.30882432959	3155.29481337358	2731.21344061047
gene-LOC117903341	1153.56140949378	1220.76133273598	1189.57809776111	858.401791659157	1119.05060745531	1204.40352099101
gene-LOC117903342	443.606815912018	271.164857739652	334.568839995314	510.904198891113	339.529070424929	308.031591046294
gene-LOC117903364	880.784547535456	1009.85533227181	940.716707517687	919.420714198784	1121.84125734922	1020.61133833339
gene-LOC117903397	2754.40339735019	2675.28547386822	3799.00852574926	2828.58903637084	3080.87748286949	3647.09403798812
gene-LOC117903388	1658.70374645363	2010.36015220777	1601.59342849608	1233.82329813178	1707.87773506896	1834.84151066576
gene-LOC117903372	1540.22490742123	1604.13233850584	1324.85130158638	1243.13126936664	1411.13862968388	1346.0980528723
gene-LOC117896339	1673.3987962561	1850.36249668322	1832.90028083852	1147.98311896586	1429.7429623099	1424.13272260403
gene-LOC117897140	226.854831325608	226.490187690591	218.915413824094	209.94646229736	233.484374456595	270.041028150584
gene-LOC117899488	65.209283498454	97.6609066188786	46.4678944437935	83.771741113725	69.7662473475881	99.5968811049683
gene-LOC117895602	644.745310083306	1126.21726356239	721.801293693593	615.360320526745	836.264751539756	719.767151078173
gene-LOC117897945	0	1.03894581509445	2.06523975305749	0	0	0
gene-LOC117898690	689.748900103366	898.688130056702	643.322183077408	432.303552907865	715.336589470603	633.518305585211
gene-LOC117894847	1210.50472747834	1379.72004244543	1265.99196862424	1189.35188000968	1384.16234737615	1434.40044230558
gene-LOC117889603	957.015118385762	824.922977184996	672.235539620213	974.234322581839	786.963270080793	798.828592780055
gene-LOC117889607	3108.92147383474	3619.68721978907	3078.23985193219	1536.84947277772	2975.76300353246	2946.83555434288
gene-LOC117889606	76.2305708503054	143.374522483035	68.1529118508972	99.2850265051556	88.3705799736116	96.5165651945054
gene-LOC117889605	1505.32416414037	1504.39354025677	1549.96243466965	1846.08096158024	1422.3012292595	1472.39100520128
gene-LOC117889604	44.0851494074055	61.2978030905727	137.338443578323	107.558778713919	81.8590635545033	103.703968985586
gene-LOC117893496	0	0	0	0	0	0
gene-LOC117893603	4099.00045427606	3818.12587047212	3760.80159031769	3755.24928375229	3432.49936950133	4038.29415861691
gene-LOC117893272	640.153107020034	547.524444554777	931.423128628928	1109.71701500033	604.640810345763	808.069540511444
gene-LOC117895280	1148.96920643051	796.871440177446	1023.32629763999	2311.47952332315	839.055401433659	876.863262511783
gene-LOC117892189	501.468574509238	461.291941901937	565.875692337753	1053.86918759118	448.364416287166	396.333980479565
gene-LOC117892630	213.078222135793	243.113320732102	169.349659750714	173.748796384022	235.344807719197	160.176427344073
gene-LOC117893532	213.078222135793	111.167202215106	140.436303207909	237.870376001935	155.346177427296	100.623653075123
gene-LOC117893539	4.59220306327141	17.6620788566057	2.06523975305749	0	6.51151641910822	1.02677197015431
gene-LOC117892728	1.83688122530856	3.11683744528336	7.22833913570122	0	7.44173305040939	2.05354394030863
gene-LOC117892499	11.0212873518514	3.11683744528336	10.3261987652875	3.10265707828611	2.79064989390352	11.2944916716974
gene-LOC117892672	6.42908428857997	7.27262070566117	3.09785962958624	12.4106283131444	7.44173305040939	2.05354394030863
gene-LOC117892418	76.2305708503054	64.4146405358561	88.8053093814721	59.9847035135315	97.6727462866233	77.0078977615735
gene-LOC117892274	672.298528462934	822.845085554807	774.464907396559	782.903802754195	733.010705465325	821.41757612345
gene-LOC117892343	76.2305708503054	93.5051233585008	58.8593329621385	93.0797123485833	106.044695968334	36.9637909255553
gene-LOC117892656	24.7978965416656	19.7399704867946	30.9785962958624	29.9923517567657	70.6964639788892	21.5622113732406
gene-LOC117894262	2671.74374221131	2256.59031038515	2657.96356218499	4524.70823916725	2301.35594583911	2471.44013216143
gene-LOC117902570	7.34752490123425	14.5452414113223	3.09785962958624	5.17109513047685	9.30216631301174	7.18740379108019
gene-LOC117903362	5219.49800171428	5488.750741144	4613.74560833044	3744.90709349134	5179.44620308494	4848.41724306866
